user_review,pengalaman visual,fungsi,performa dan stabilitas
"Noice yang dulu bukan yang sekarang. Dulu kalau buka konten, pasti ada iklan. Sekarang pas buka channelnya aja udah masuk iklan. Konten yang mau dibuka udah di klik, tapi yang keputar malah konten lain di channel itu. Akhirnya kita perlu menunggu 2-4 iklan hanya untuk mengganti audio. Oke saya faham kalau iklan itu perlu. Tapi kok gini banget gitu. Jangan sampai mengorbankan kenyamanan user lah. Bukannya jumawa, tapi user bisa aja nyari platform yang lebih enak kalau Noice gini terus",netral,netral,netral
"hope so noice bs terus jaya, gak kalah ama youtube",netral,netral,netral
gimana sih.. katanya selaim HIM dan musmas bisa semua pakai premium.. kok masih ada yg terkunci?,netral,netral,netral
Aku udah beli paket premium 150 koin kok tetep gabisa dengerin VIP Noice ? Masih kekunci VIP nya,netral,netral,netral
"Menurut ku ini Aplikasi luar biasa untuk konten audio.Konten nya bagus bagus ada yang lucu ada yang berpikir banyak lah jenis nya.Kalo saya paling suka musmas dan ruang 28.Makan tidak perlu,koin noice nomor 1😋 Cuman saran saya untuk auto rotasi di video nya dibagusin lah.Mutar mutar terus hp ku kalo nonton yang ada videonya.Udah di setting dari hp(kunci rotasi) masih tetep muter muter. Semoga noice bisa lebih baik...Aamiin",negatif,netral,netral
Balikin 20rb gua dah top up koin gk masuk,netral,netral,netral
Hai noice. Tolong dipercepat transaksi coinnya dong. Saya nggak tau ini masalah di pembayaran atau gimana. Yang jelas coinnya nggak nambah2 padahal udah mau buka konten berbayar. Emang harganya nggak seberapa tapi kecewa untuk pertama kali nya di platform ini.,netral,netral,netral
makin hari makin sepi peminat padahal bagus loh aplikasinya cuman pelayanan saat ada keluhan tidak pernah ditanggapi,netral,netral,netral
"Download cuma buat dengerin Musuh Masyarakat. Karena dah bungkus, terpaksa unistall dong.......",netral,netral,netral
Daftar aja gak bisa di geser ke bawah gimana siii tolong lah error force close uninstall mau daftar lagi malah gak bisa di geser pas di username gak ada lanjutnya gimanaaaaaa???????,negatif,netral,negatif
Gak bisa login menggunakan FB,netral,netral,netral
Sering force close.. di buka lg iklan doang.. mana 30 detik.. ampas,netral,netral,negatif
"""Tidak ada koneksi internet"" katanya, padahal internet wifi sy kencang. Versi sebelumnya tdk begini.",netral,netral,negatif
"Pokonya mantaplah,,, Poadcastnya,, radionya,, sukses trus 👍",netral,netral,netral
Aplikasinya bagus saya dipenjara sambil dengerin ini,netral,netral,netral
Mending cri yg gratis 😴,netral,netral,netral
Bring back podcast kena mental,netral,netral,netral
Kenapa playlist yg saya sdh simpan Mala tidak ada kenapa penyebabnya?,netral,netral,netral
"Kebanyakan berbayar, ga kaya dlu lagi payah",netral,netral,netral
"Aplikasiini aneh tidak berlangganan dengerin audioseries aman aman aja, ehh langganan malah eror lihat episode gabisa aneh",netral,negatif,netral
Noice setelah update jadi banyak masalaahhh.. auto lngsng hapuss aplikasi,netral,netral,netral
MAU DENGERIN BANG PANDJI TAPII GABISA KEBUKAA🙏😭,netral,netral,netral
"Payah banget, masa habis download offline terus closed app tiba tiba episode yang tadi ke download pada ilang semua dan harus di download ulang",netral,negatif,netral
Pengguna noice lama baru instal lagi kaget bgt skrg berbayar padahal dlu bagus bgt krn sll gratis .skip lah,netral,netral,netral
dengerin udh pake kuota di tambah pake segala berbayar coint,netral,netral,netral
aku bisa dengar cerita sedih dan cerita yang lain nya terimakasih sudah menciptakan apk ini . love you more.,netral,netral,netral
makin bagus puas pke apk ini,netral,netral,netral
Kok ga bisa live. Kenapa neh? Gimana caraya,netral,netral,netral
"Ini app noice tiap kali lagi dengerin podcast sering bgt force close, tiba2 mati sendiri dan harus diulang lagi dari awal. Tolong lah diperbaiki ini appnya padahal udah sering diupdate tetap aja begitu mulu masalahnya cuma bikin kesel doang tiap mau dengerin podcast di noice. App gak guna!!",netral,negatif,negatif
Streaminh radio jadi lebih mudah,netral,positif,netral
"Bagusss , seruuuu buat nemenin tidur",netral,netral,netral
"Semoga yg yg terkunci dan harus pakai koin bisa di buka dengan menontón iklan sebanyak 1 atau 2 kali, dan banyakin juga yg versi gratisnya untuk orang yg gak mampu beli koinya karena gak punya duit dan bukan orang kaya yg selalu bisa beli koin",netral,netral,netral
Rocomend banget untuk pengganti radio,netral,netral,netral
Kalo bisa radio Bangka Belitung di Adain juga,netral,netral,netral
tlong bikin CAFE DAN minimarket krna karakter anda sbg platfom poddaatbsangat menarik✌🔥🔥🔥,netral,netral,netral
saya sangat suka karena bisa dengar cerita yang sangat menarik untuk saya atau tenang cerita horor dari jaman dulu 😆😆😆😆😆,netral,netral,netral
"yoo ndk tau ko tanya saya, angin tidak punya KTP, sorry yee",netral,netral,netral
Terima Kasih Ya Paranoice Aku dan Noice App Bisa Sesuka Hati,netral,netral,netral
"Kenapa nih aplikasi noice ku ngak bisa ke buka cumak muncul logo noice berkali kali, padahal pengen dengerin podcast yang mantep. Aplikasi nya tolong di perbaiki dong soalnya noice mantep banget",netral,netral,negatif
Lumayan bagus sih karena updatenya selalu gitu lah pokoknya,netral,netral,netral
"loadingnya lama sekali bun, seperti 1000 tahun",netral,netral,negatif
Terlalu sering Mengeruk uang jalur VIP adalah jalan Ninja yang salah,netral,netral,netral
Rda susah buat dengerin secara gratis sangat terbatas harus bayar baru kayanya bisa di nikmati aplikasinya,netral,netral,netral
Iklan nya ngeselin banget dah terlalu lebayy,netral,netral,netral
"Entah knp, kalo pake aplikasi noice.. hp ku jadi panas, batre jadi boros.. sedangkan kalo pake spotify atau youtube, mau dipakai nonstop juga hp aman2 aja.",netral,netral,negatif
Ngaa bisa di play padahal sinyal bagus,netral,negatif,netral
"Apps nya udh bagus tp kenapa ya setiap dengerin di luar apps nya tuh suka berhenti sendiri terus harus ulang dr awal lg padahal sebelumnya nggak gini dan suka nge skip sendiri jd ganggu saat denger Maraton , tolong diperbaiki lagi apps nya",netral,negatif,netral
Udah coba re install tetap aja podcast nya tidak bisa di putar,netral,negatif,netral
"Ini di video tolong fitur autorotatenya di hapus aja, gangguuuu... Gerak dikit auto berubah",negatif,netral,netral
"seru konten"" nya cuyy coba aja download kalo ga percaya",netral,netral,netral
Alhamdulillah... pake noice bisa denger radio kesayangan dgn jernih...,netral,positif,netral
Seru bgtt apalagi Scary Things 😻,netral,netral,netral
"Ini kenapa Koin di naikin untuk musmas.? Bonus koin juga di hilangkan Ngadi"" Terus NOICE saaaat",netral,netral,netral
Auto rotate nya ganggu banget,negatif,netral,netral
"aku terlalu miskin untuk bisa menikmati konten noice, podcast ada yg harus pake koin agar bisa dengerin, harga koinnya untuk 1 podcast bisa 30-100rb mungkin nanti bisa diadain fitur pilih ads atau koin aja, jadi untuk org seperti sy yg dpt wifi gratis dari kosan juga bisa dengerin noice dengan puter iklan diawal, tapi yaudah lah ya, untuk sekarang emang sebaiknya sy diem di sebelah dulu yg gratisan.",netral,netral,netral
knp saya kasih bintang 3 karna setiap saya mau dengerin mencet play cuman muter² doang gk bisa didengerin. padahal koneksi bagus gk ada masalah,netral,negatif,negatif
"Udah keren sih, tapi bukunya kurang banyak.",netral,netral,netral
"Mohon ditingkatkan lagi ketika membuka aplikasi saat offline, karena pas offline aplikasinya gak bisa kebuka, harus online. Mohon ditingkatkan lagi performa aplikasi, selebihnya bagus😘",netral,netral,negatif
Aplikasi bug Masa langsung ke video Mulu kalo di play Berasa YouTube,negatif,negatif,netral
Semuanya aja VIP biar makin yakin uninstall,netral,netral,netral
mendownload noice cuma untuk bisa dengerin trio kurnia haha,netral,netral,netral
"HARUS BANGET BUAT BUKA APLIKASI DOANG PAKE JARINGAN INTERNET????TOLONG DIPERBAIKI BUG NYA BIAR PARANOICE BISA TETEP ENJOY DENGERIN PODCAST YANG UDAH DI DOWNLOAD WAKTU LAGI OFFLINE!!!!MASA PAS OFFLINE BUKA APLIKASI NYA SEBATAS LAYAR ITEM DOANG SAMPE BIKIN HP PANAS GEGARA NUNGGUIN LOGO NOICE NYA GA MUNCUL""",netral,netral,negatif
nice good job Bombastis Wadidaw,netral,netral,netral
"Happy, aplikasi lokal yg keren, banyak hiburan, buat nemenin hari-hari gw",netral,netral,netral
Kenapa ga bisa login gangguan mulu,netral,negatif,netral
Tolong dimatikan sensor auto fullscreen video min. Ubah fiturnya menjadi permanen fullscreen,negatif,netral,netral
"⭐ 1 dulu lah sekarang ampas ni apk, udah mah ada iklan sekarang rata2 kontennya vip. Maruk bat lu semua aja vip apk jelek tod",netral,netral,netral
"Min tambahin fitur buat sorting file download. Baru download podcast filenya posisinya random bisa di tengah, di atas, dibawah",netral,netral,netral
"dulu gw suka bgt sama apk ini tapi sekarang udh engga sm sekali, kecewa juga dlu perasaan ngga ada tuh VIP,coin,dll lah nggangu bgt lagi seru seru dengerin cerita malah pas di tengah tengah harus pake coin dlu JELEKK,KECEWA👎👎",netral,netral,netral
Sangat membantu saya untuk mengisi hari-hari yang tampak monoton ini. Terima kasih noice.,netral,netral,netral
"Baru milih2 yg mau diputer, iklannya sudah 6 biji Maruk amat",netral,netral,netral
Admin nya sangat membantu. Terima kasih. Mantap,netral,netral,netral
Setelah muncul iklan aplikasinya langsung gamau mutar podcast apapun lagi,netral,negatif,netral
tingkatkan dan lbh baik lg,netral,netral,netral
ada podcast yg menarik !,netral,netral,netral
Aplikasi sdh 5 hari brebet,netral,netral,negatif
"mantap banget ini aplikasi noive,coba kalo di tambahin vitur podcast versi vidio nya pasti mantul",netral,positif,netral
Radio nye malah ngga bisa dibuka.... Harusnye klo mau bikin podcast bikin baru aje apk nye.... Noice ini khusus buat radio... Jadi ga makan banyak kuota....,netral,negatif,netral
"Maaf kak, setiap kali saya mau streaming radio kok ngga bisa ya? Seperti buffering terus?",netral,negatif,netral
"Udah keren sekarang, tinggal nambahin lagu aja dah sempurna",netral,netral,netral
Beberapa hr yg lalu masih bisa putar radio kis fm 95.1. Tapi kemarin & hari ini sdh nggak bisa. Kenapa yaa.?,netral,negatif,netral
"Ini kenapa hari inu ko ga bisa muter radio di aplikasi noice. Cuman muter terus aja, tp g play2 juga.. Uda bersihkan chace, restart jaringan, jg ttp aja. Apakah asa masalag?",netral,negatif,netral
mau dengerin radio awalnya iklan terus,netral,netral,netral
"aneh, gabisa keluar dari video",negatif,netral,netral
kasih 4 bintang dulu ya,netral,netral,netral
Kenapa nggak ada podcast bola lagi ?,netral,netral,netral
"udh makin banyak iklannya, tiba² kluar² sendiri",netral,netral,negatif
Masa aku ngirim nomor WA aku nggak bisa,netral,negatif,netral
"Setelah ada video malah suka error. Padahal mau denger audionya aja, tapi pas play defaultnya ke video, hmm",negatif,negatif,negatif
"Minimal klo ada iklan, konten nya bisa diganti kek Youtube lah, ini saya mau dengar konten audio baru dari Scary Things keluar iklan, pas mau pindah konten ke audio baru malah dibilang masih ada iklan, sebentar lagi konten dimulai, jadi saya harus menunggu 2 iklan hanya untuk mengganti konten audio",netral,netral,netral
Nyedot kuotanya gak kerasa tbtb terkuras,netral,netral,negatif
usah ok cuma sekarang kalo mau dengerin kebanyakan yang bayar dari pada gratis,netral,netral,netral
"keren banget noice, fiturnya selalu improve, favorite saya selama perjalanan",positif,netral,netral
"Mohon untuk videonya dicompress, masa podcast 45 mnitan pake data 2gb. klo app ini di pc ga masalah ini dihp, yg resolusi 480 aja udah cukup.",netral,negatif,netral
"Saran saya podcast yang didownload seharusnya juga dapat ditempatkan di kartu SD, bukan hanya penyimpanan internal saja.",netral,netral,netral
"Buka aplikasi 3jam kuota abis disedo 4,7Gb",netral,netral,negatif
"Loading nya kenapa lama, tiap mau buka aplikasi harus bolak balik ke pengaturan dan hapus data nya dulu. Lalu buka lagi..semenjak diperbarui jadi lemot!",netral,netral,negatif
"sebulan yg lalu pernah lagi asik denger podcast, tiba tiba kuota terkuras kurang lebih 1 GB dalam hitungan menit, pas gua cek ternyata pemakaian kuota terbanyak noice reflek langsung uninstall apk, sekarang baru install lagi jadi ga mau ngasih rating gede dulu.",netral,netral,negatif
"Developer, ada error saat mau live. Karena itu, ga ada yang bisa ""live"". Sepi deh noice-nya, cuma bisa dengerin audiobook",netral,netral,negatif
"Kalo buka konten yang udah di download selalu frame parah, tolong segera diperbaiki",netral,negatif,negatif
Noice yang sekarang gak kayak dulu sekarang kebanyakan iklan apalagi iklan nya mamat lagi bahas politik lol baru 5 menit dengerin udah ada iklan kocakkkk,netral,netral,netral
"Tidak bisa mendownload episode podcast - Saya ralat, sudah bisa download 👍🏻",netral,netral,netral
Udah beli episode vip tapi cuma bisa dengerin setengah jalan aja terus tiba² pindah ke episode selanjutnya. Aku coba buat muter ulang tapi malah gabisa sama sekali.,netral,negatif,netral
kenapa sekarang kalo ga pake kuota apk nya ga bisa di buka pdhal dulu bisa,netral,netral,netral
"Kenapa setelah langganan 30 hari, dan dowload podcast premium supaya bisa dengar walaupun sudah tidak langganan lagi, kenapa setelah langgananya selesai selalu error dan gak bisa di buka,dan harus hapus chance sama datanya dulu,dan dowloadan premium saya hilang tolong di perbaiki,dan sampai sekarang tidak bisa dibuka walaupun sudah hapus chance dan data tetap tidak bisa di buka, tolong di perbaiki saya udah 10 kali langganan premium dan 1000 jam lebih mendengar noice tolong di tindak lanjuti.",netral,netral,negatif
"Entah bug atau apa, iklan muncul 100x sehari.",netral,netral,netral
kenapa gabsa denger podcast lagi deh?,netral,negatif,netral
"Woiiii lah kurangin iklan kenapa masa gua mau putar podcast malah isi nya iklan 29 detik itu 6x pulak, tolong lah kurangin iklan!!",netral,netral,netral
Gua buka aplikasinya cuma blank hitam doang,negatif,netral,negatif
"Terimakasih spotify selalu jadi yang terbaik tidak permah bug iklas terus""an 🐀🐽🐸🎈🦊",netral,netral,netral
Ya beginilah giliran aplikasi nya sudah laku iklan bertebaran dimana-mana. Aplikasi jelek udah gitu iklannya ngga bisa di skip lagi,netral,netral,netral
"Udah di upgrade terbaru, tetep aja black screen. 3kali",negatif,netral,negatif
tiba² 2024 malah makin LEMOT padahal hanya sekedar buka aplikasi. terpaksa aku uninstall terus install lagi,netral,netral,negatif
"sudah beli beberapa yg VIP (musmas & ruang 28), awal2 lancar jaya, sekarang nggabisa di play. pas mau play malah nge play judul lain",netral,negatif,netral
"Pengen dengerin audio ,bukan nonton video",netral,netral,netral
Suka banget dengerin podcast moybi,netral,netral,netral
Padahal content nya Bagus² tapi sayang loading nya lama banget.,netral,netral,negatif
"Dulu saya insyaallah NOICE karna ada Coki-Muslim, setelah mereka gak bareng lagi NOICE saya uninstall, sekarang install lagi karna suka sama Daddy Issues",netral,netral,netral
"Kenapa setiap keluar dari aplikasi noice selalu kayak mengulang lagi kontenya, ku kira harus premium ,ternyata sama saja ,sangat mengangu sekali tolong di perbaiki , percuma beli premium",negatif,negatif,netral
"Dari awal taunya ini platform audio, harusnya pas buka podcast ya audio jangan langsung video. Mana susah banget mau ganti ke audio. Tolong lah noice kalo buka podcast itu ya diarahin ke audio dulu, kalo video itu pilihan aja. Jadi ga nyaman banget nih apk nya. Karena admin ramah langsung saya ganti jadi bintang 5.",negatif,netral,netral
Tolong lebihin lah top up ya sangat kureng,netral,netral,netral
"Kenapa tiap buka file download tiba tiba aplikasi ngefreeze abis itu close sendiri, rugi gw dah download bnyak gak bisa distel...",netral,netral,negatif
"Temen-temen gue belum pada tahu aplikasi Noice, makanya gue download",netral,netral,netral
Ni mah mau ngabisin duit pebgguna/user masa berbayar cuma mau dengerin satu episode .. setidaknya di beri langganan bukan satu episode podcats harus bayar kontoll,netral,netral,netral
"Tolong perbaiki auto rotate nta di mode videonya. Terlalu sensitf, miring sedikit langsung rotate",negatif,netral,netral
solusi bengong ga ada kerjaan,netral,netral,netral
"Setelah update, kok saya dengerin podcast yg udh di koleksi(downloaded) tapi lemot banget?? Tolong di perbaiki, saya sudah coba segala cara salah satunya hapus chace. Tetap lemot banget",netral,netral,negatif
Aplikasi podcast Indonesia yg luar biasa 🤩,netral,netral,netral
"Bisa bisanya fiture live nya bermasalah dong abis update, bukan makin bagus malah makin ga jelas",netral,negatif,netral
"Tau aja orang kebanyakan download apk ini karena mau denger konten MUSMAS, ehh di mahalin 100 koin/konten MAAP YA MAHAALLLLLLL",netral,netral,netral
"Podcast yang ada pilihan versi video menyedot kuota, padahal sudah dipilih yang versi audio dan sudah didownload sebelumnya. Bikin repot tiba2 kuota habis di perjalanan, padahal layar hape ga nyala juga.",netral,negatif,netral
Malem di kasih iklan horor?,netral,netral,netral
"Noice sekarang malah jadi buruk, cuma cabut headset aja jadi hilang suaranya..room jg udah gk bisa kan..",netral,negatif,netral
"Tolong!!!! Iklannya horor mulu, perasaan gk pernah dengerin podcast horror di noice. Konten2 noice nggak cuma horror doang please. Bisa iklan yang lain lah, ganggu banget.",netral,netral,netral
Maaf kak buat live tidak bisa soal barusan di update,netral,negatif,netral
"Aplikasi noice semakin kesini, semakin sulit utk dipakai, dan sering force close saat buka list download .",negatif,netral,negatif
"autorotate videonya ganggu banget, jadi terjeda2",negatif,netral,netral
Kenapa klo di minimize mesti keluar sendiri sih. Harus ngulang dari awal pula,netral,negatif,netral
Aku rindu noice yang dulu 😭😭 kembalikan noice yang dulu,netral,netral,netral
"Mending nonton YOUTUBE atau SPOTIFY... Noise iklannya kayak kontoI, gak akan berkembang ni aplikasi gua jamin wkwkwkwkw",netral,netral,netral
Aplikasi favorit tapi topup coin nya ribet bener,netral,netral,netral
"bintang 3 dlu, klo kontrak berizik diperpanjang baru bintang 5",netral,netral,netral
"Buka aplikasi nya lama banget, hai noice tolong perbaiki lah",netral,netral,negatif
"Tolong lahh kemaren² frekuensi audio mustang fm rada kenceng, knp sekarang jadi pelan kayak radio lain... Ayo kencengin lagi lahh biar ngga perlu tingkatin volume di hp",netral,negatif,netral
"Sekarang aplikasi sering crash, padahal dulu gak pernah crash atau error. Kenapa ya?",netral,netral,negatif
Thank u noice udah ada musmas ber tiga,netral,netral,netral
"Noice keren yg selalu menemani aku dimana aja, dijalan arah balik gawe, pulang gawe keren polll sukses trusss noicee",netral,netral,netral
Bagus Bgt seru apalagi aku suka denger Scary tings,netral,netral,netral
"Nyesel update aplikasi, ga bisa di buka saat offline.",netral,netral,negatif
"Q suka cerita horor nya sm sejarah ny,bagus bgt buat temenin klo lg masak dan kegiatan lainny",netral,netral,netral
Habis update malah nyedot kuota. Maksa ke video mulu. Padahal konten udah didownload,netral,negatif,netral
"Kenapa setiap mau beli koin selalu tidak dapat menyelesaikan pembelian. Pastikan anda telah memilih negara yang benar akun Play anda, padahal sebelumnya tidak ada yang di otak atik dan aman aman aja saat beli koin",netral,netral,netral
ada iklan di akhir vidio,netral,netral,netral
Noice knp aplikasimu pada saat mau di buka loading lama sekali (looping di open loading nya)pdhal sebelum nya tidak gini loh 😢,netral,netral,negatif
Sekarang malah error mau pilih dengerin audio doang ga pake video malah gabisa dan kudu dengerin dan play video jadi boros kouta,netral,negatif,netral
Kasih opsi matiin video jangan otomatis nyala.. makan kuota aja sial,netral,negatif,netral
"Periode 4 November ke 4 Desember bikin rugi bgt, udh buka noice premium eh malah podcaster nya gak ada update-update 🤮",netral,netral,netral
Wooy noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain anjir noice kntl,netral,negatif,netral
saya pakai untukradio streaming lokal bali dari luar bali cepet banget hampir tidak ada bupper.,netral,positif,netral
Mantap terus maju layanan publik yang terintegrasi untuk pengguna noice di seluruh dunia dari Indonesia untuk Indonesia dan dan dunia 🇮🇩,netral,netral,netral
Kenapa nggak bisa memutar yang sudah di download... Itu pun konten yang gratis...,netral,negatif,netral
Kecewa udah ga bisa offline skrg. Padahal ini aplikasi fav. Gua dulu.,netral,netral,netral
"Jelek , jauh bagusan spotify",netral,netral,netral
"Setelah di update aplikasi makin sulit, loadingnya lama banget, padahal sinyal kuat, kuota masih ada, sampah hp udah dibersihin, perangkat mendukung, WHY NOICE ???? Dan sekarang makin gak bisa di denger offline, didownload tapi harus online ? Mengecewakan.",netral,negatif,negatif
"Iklannya makin nyebelin, tak bisa minimize dan berdurasi panjang",netral,negatif,netral
"Bagus bgt, tpi knapa belakangan ini nyedot kuotanya gde bgt smpe 1.9Gb ya? Pdhal hanya konten audio",netral,negatif,netral
"Kalau bisa, hadirin juga versi TVnya biar bisa denger podcast dri TV",netral,netral,netral
"Abis di update suara makin kecil volume udah up pdhl kirain hp gw yg error gataunya emng aplikasinya, pas coba music biasa dari hp volume up emng kenceng payah minta update mulu bknnya makin bnr malah down",netral,negatif,netral
Keren Noice di perbanyak kontennya,netral,netral,netral
Guna didownload buat apa bila kalau di play harus loding tunggu online💩,netral,negatif,netral
Banyak bgt iklan ngeganggu di tengah tengah. Padahal di awal udah ada 2 iklan dan nggak bisa diskip pulak,netral,netral,netral
"Tolong dong noice kalo masukin iklan itu setelah user memilih pilihan podcast. Ini belom apa apa udh iklan, trus baru milih podcast iklan lagi.. iklan mulu.. Iklan boleh tapi ya jangan baru mau milih podcast udah iklan juga dong. Kan gajelas. Contoh youtube tu dia kasih kita pilihan untuk klik video yg mau kita tonton, nah baru dikasih iklan sama dia. Lah ini milih juga belum udh iklan. Hadehhhhhh bintang 1 ah tadinya udh bintang 5 paten",netral,netral,netral
berapa lama bert... berapa lama bert... berapa lama bert...,netral,netral,netral
"Kok black green, lama bener loading nya",negatif,netral,negatif
"Bagi orang yang suka radio, sulit untuk tidak suka app ini.",netral,netral,netral
Parah tidak bisa masuk. Masa pas membaca peraturan tidak ada lanjutkan.,negatif,netral,negatif
recomended buat yang males baca tinggal dengerin aja podcast,netral,netral,netral
"jangan lupa dengerin berizik, podcast musik paling gaul",netral,netral,netral
"Dikit"" berenti mulu yg diputer, aneh bngt",netral,negatif,netral
"ini cocok, buat saya.. krn lagu2 yg saya suka bs dibuat jd nada dering hp..",netral,netral,netral
Makin ga sreg noice ini,netral,netral,netral
"bagus banget.. 👍tempat kumpul audio konten , podcast radio musik",netral,netral,netral
"Sekarang jadi aplikasi yang sering saya gunakan, mantab",netral,netral,netral
"Tolong bikin noice khusus audio aja tanpa vidio, atau noice lite. Sekarang noice tambah ribet",negatif,netral,netral
"Usul, agar menyebarkan podcastnya setiap saat tidak hanya sehari sekali.",netral,netral,netral
keren tp kuotane entek akeh,netral,netral,netral
Apk apa ini Banyak sekali iklan nya,netral,netral,netral
aku sungguh menyukai aplikasi Noice. sungguh bagus makanya aku kasih bintang 5,netral,netral,netral
kenapa dah gak bisa play di web kayak dulu? hadehh,netral,netral,netral
Iklan sih bole..tapi jangan kebanyakan juga Udah over iklan kalian,netral,netral,netral
"Gaperlu rebutan radio mobil. Skrg udh bisa nampilin judul lagu yg diputar. Tp tolong tingkatkan lg, biar bisa keliatan full judul lagu yg sedang diputar gacuma sepotong aja, terimakasih",netral,netral,netral
"KOK BISA PODCAST KENA MENTAL DIBUNGKUS ALASAN GUE DOWNLOAD, KRNA ADA TU PODCAST PADAHAL LEBIH BANYAK PODCAST YANG LEBIH GARING GAK JELAS",netral,netral,netral
"Tolong dong untuk UI Playlist dibikin simple. Ribet banget ngatur podcast yg udah didengerin sama belum, kek otomatis ngulang2 terus.",negatif,netral,netral
suka dengerin podcast di atas motor,netral,netral,netral
bagus apk nyaa saya sangat suka,netral,netral,netral
Tolong dong kasih fitur lock rotasi di fullscreen noice video. Soalnya ganggu banget waktu hp miring dikit eh videonya malah gajadi fullscreen. Mau subscribe premium biar bisa liat konten video malah agak mikir-mikir lagi mau lanjut subscribe,negatif,netral,netral
"Komenan di semua episode ilang, itu kenapa min?",netral,netral,netral
Pengen dengerin noice update berita dari ruang 28. Tapi versi web error tidak bisa play. Ram device ngak mesti cukup buat download noice di play store. solusinya ya tinggal lewat web tapi kok webnya ngak dibener benerin. Lama-lama aplikasi ini jadi kapitalis kayak Telkomsel.,netral,netral,netral
Kalau dengerin podcast bentuk video layar auto rotate. Mohon adakan fitur lock rotasi layar supaya bisa nonton landscape sambil tiduran,negatif,netral,netral
