,user_review,rating,review_date,pengalaman visual,fungsi,performa dan stabilitas
21,"so far so good,tpi tolong dong yg playlist dari Abang"" stand up comedy panjangin kontraknya kayak pandeka, podcast kena mental terus yg lain"" soalnya sekarang pada politik semua dah ga seru!!!",4,2024-03-21 6:36:23,netral,netral,netral
23,"Sdh ngk seru lagi, klu dulu masih seru",1,2024-03-20 23:30:46,netral,netral,netral
25,baik senang dgn dakwah islamyah,5,2024-03-20 16:09:50,netral,netral,netral
27,Kecewa Hiduplah Indonesia Maya harus beli lagi walau sudah langganan noice premium,3,2024-03-20 10:40:57,netral,netral,netral
28,"donlot ini cuma mau denger trio kurnia, tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast",2,2024-03-20 6:36:17,netral,netral,netral
31,"sampah, sinya full tapi ga bisa play bagusan spotify kemana mana",1,2024-03-19 14:32:12,netral,negatif,netral
32,Aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,4,2024-03-19 6:44:47,netral,netral,negatif
33,"Makin kesini noice makin kapitalis dikit-dikit pakai duit, sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat",1,2024-03-19 3:26:19,netral,netral,netral
34,"Aplikasi nya sering lag, dan saat menyalakan radio sering tidak berjalan",2,2024-03-18 22:22:53,netral,negatif,negatif
35,gabisa play. wifi full tetep gamau nyambung muter doang,1,2024-03-18 18:52:16,netral,negatif,negatif
38,"selagi musmas terus jalan, w kasih bintang 5",5,2024-03-16 13:25:26,netral,netral,netral
39,"Aku mau podcasternya yang bersuara seksi seperti semua pengisi suara ""batman bangkit"" Di spoti**** tolong",4,2024-03-16 6:36:45,netral,netral,netral
40,"Ini kenapa aplikasi nya yang udah didengarkan, dihari lain jadi ga bisa didengarkan lagi. Kalian bilang free kapanpun, kenapa malah ga bisa.",2,2024-03-16 2:08:39,netral,negatif,netral
45,"Kocak juga ini aplikasi.. Sudah subscribe bayar bulanan buat VIP, malah skrg ada beberapa konten VIP yg mesti diunlock lagi selain MUSMAS. Contoh hiduplah indonesia maya mulai sering VIP, butuh koin lagi. padahal kita udah subscribe VIP. Koplak deh. Udah dibayarin minta lebih terus. Bulan berikut males deh unlock VIP konten. Ga denger juga gapapa.",2,2024-03-15 1:30:25,netral,netral,netral
48,"ini kenapa ya, kok saya mau top up tapi ngga bisa terus pas pembayarannya? padahal kemarin"" lancar aja",3,2024-03-14 14:27:19,netral,netral,negatif
49,"Bagus apk nya, jika ada masalah pada apk nya mimin merespon dengan baik dan gercep👍",5,2024-03-14 12:49:22,netral,netral,netral
51,Mohon perbaiki konten pada aplikasi bima+ dan myIM3 karena menampilkan konten yang sudah usang,5,2024-03-13 19:42:21,netral,netral,netral
52,bisa buat denger radio se Indonesia dan podcast anak bangsa,5,2024-03-12 7:04:53,netral,positif,netral
54,Hot.93.2 fm dan hot.105 fm nirwana cintaku di prancis ajaib SIPIT dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden.m.sakaweuning,5,2024-03-11 13:25:58,netral,netral,netral
58,"Noice yang dulu bukan yang sekarang. Dulu kalau buka konten, pasti ada iklan. Sekarang pas buka channelnya aja udah masuk iklan. Konten yang mau dibuka udah di klik, tapi yang keputar malah konten lain di channel itu. Akhirnya kita perlu menunggu 2-4 iklan hanya untuk mengganti audio. Oke saya faham kalau iklan itu perlu. Tapi kok gini banget gitu. Jangan sampai mengorbankan kenyamanan user lah. Bukannya jumawa, tapi user bisa aja nyari platform yang lebih enak kalau Noice gini terus",1,2024-03-09 16:49:37,netral,netral,netral
59,"hope so noice bs terus jaya, gak kalah ama youtube",5,2024-03-09 16:42:59,netral,netral,netral
62,gimana sih.. katanya selaim HIM dan musmas bisa semua pakai premium.. kok masih ada yg terkunci?,1,2024-03-08 6:50:55,netral,netral,netral
63,Aku udah beli paket premium 150 koin kok tetep gabisa dengerin VIP Noice ? Masih kekunci VIP nya,1,2024-03-07 18:35:37,netral,netral,netral
64,"Menurut ku ini Aplikasi luar biasa untuk konten audio.Konten nya bagus bagus ada yang lucu ada yang berpikir banyak lah jenis nya.Kalo saya paling suka musmas dan ruang 28.Makan tidak perlu,koin noice nomor 1😋 Cuman saran saya untuk auto rotasi di video nya dibagusin lah.Mutar mutar terus hp ku kalo nonton yang ada videonya.Udah di setting dari hp(kunci rotasi) masih tetep muter muter. Semoga noice bisa lebih baik...Aamiin",4,2024-03-07 18:14:20,negatif,netral,netral
65,Balikin 20rb gua dah top up koin gk masuk,1,2024-03-07 17:32:24,netral,netral,netral
66,Hai noice. Tolong dipercepat transaksi coinnya dong. Saya nggak tau ini masalah di pembayaran atau gimana. Yang jelas coinnya nggak nambah2 padahal udah mau buka konten berbayar. Emang harganya nggak seberapa tapi kecewa untuk pertama kali nya di platform ini.,1,2024-03-07 17:06:02,netral,netral,netral
67,makin hari makin sepi peminat padahal bagus loh aplikasinya cuman pelayanan saat ada keluhan tidak pernah ditanggapi,3,2024-03-07 1:10:08,netral,netral,netral
68,"Download cuma buat dengerin Musuh Masyarakat. Karena dah bungkus, terpaksa unistall dong.......",5,2024-03-06 15:29:32,netral,netral,netral
69,Daftar aja gak bisa di geser ke bawah gimana siii tolong lah error force close uninstall mau daftar lagi malah gak bisa di geser pas di username gak ada lanjutnya gimanaaaaaa???????,1,2024-03-04 8:28:07,negatif,netral,negatif
73,Gak bisa login menggunakan FB,1,2024-03-02 23:45:24,netral,netral,netral
76,Sering force close.. di buka lg iklan doang.. mana 30 detik.. ampas,1,2024-03-01 14:36:12,netral,netral,negatif
77,"""Tidak ada koneksi internet"" katanya, padahal internet wifi sy kencang. Versi sebelumnya tdk begini.",1,2024-03-01 4:59:50,netral,netral,negatif
78,"Pokonya mantaplah,,, Poadcastnya,, radionya,, sukses trus 👍",5,2024-03-01 1:55:20,netral,netral,netral
79,Aplikasinya bagus saya dipenjara sambil dengerin ini,1,2024-02-29 0:37:12,netral,netral,netral
80,Mending cri yg gratis 😴,1,2024-02-28 15:39:41,netral,netral,netral
84,Bring back podcast kena mental,3,2024-02-25 18:27:23,netral,netral,netral
85,Kenapa playlist yg saya sdh simpan Mala tidak ada kenapa penyebabnya?,5,2024-02-25 14:40:20,netral,netral,netral
86,"Kebanyakan berbayar, ga kaya dlu lagi payah",1,2024-02-25 3:58:40,netral,netral,netral
87,"Aplikasiini aneh tidak berlangganan dengerin audioseries aman aman aja, ehh langganan malah eror lihat episode gabisa aneh",1,2024-02-23 18:49:49,netral,negatif,netral
88,Noice setelah update jadi banyak masalaahhh.. auto lngsng hapuss aplikasi,2,2024-02-23 18:48:30,netral,netral,netral
89,MAU DENGERIN BANG PANDJI TAPII GABISA KEBUKAA🙏😭,2,2024-02-23 18:43:50,netral,netral,netral
92,"Payah banget, masa habis download offline terus closed app tiba tiba episode yang tadi ke download pada ilang semua dan harus di download ulang",1,2024-02-21 14:54:38,netral,negatif,netral
93,Pengguna noice lama baru instal lagi kaget bgt skrg berbayar padahal dlu bagus bgt krn sll gratis .skip lah,1,2024-02-21 0:57:15,netral,netral,netral
94,dengerin udh pake kuota di tambah pake segala berbayar coint,1,2024-02-20 16:53:01,netral,netral,netral
96,aku bisa dengar cerita sedih dan cerita yang lain nya terimakasih sudah menciptakan apk ini . love you more.,5,2024-02-20 8:18:27,netral,netral,netral
97,makin bagus puas pke apk ini,5,2024-02-20 2:25:28,netral,netral,netral
98,Kok ga bisa live. Kenapa neh? Gimana caraya,1,2024-02-19 15:38:49,netral,netral,netral
99,"Ini app noice tiap kali lagi dengerin podcast sering bgt force close, tiba2 mati sendiri dan harus diulang lagi dari awal. Tolong lah diperbaiki ini appnya padahal udah sering diupdate tetap aja begitu mulu masalahnya cuma bikin kesel doang tiap mau dengerin podcast di noice. App gak guna!!",1,2024-02-19 15:10:46,netral,negatif,negatif
101,Streaminh radio jadi lebih mudah,5,2024-02-19 9:49:22,netral,positif,netral
102,"Bagusss , seruuuu buat nemenin tidur",5,2024-02-18 17:12:57,netral,netral,netral
103,"Semoga yg yg terkunci dan harus pakai koin bisa di buka dengan menontón iklan sebanyak 1 atau 2 kali, dan banyakin juga yg versi gratisnya untuk orang yg gak mampu beli koinya karena gak punya duit dan bukan orang kaya yg selalu bisa beli koin",3,2024-02-18 2:25:58,netral,netral,netral
105,Rocomend banget untuk pengganti radio,5,2024-02-17 13:54:36,netral,netral,netral
108,Kalo bisa radio Bangka Belitung di Adain juga,5,2024-02-16 16:51:38,netral,netral,netral
109,tlong bikin CAFE DAN minimarket krna karakter anda sbg platfom poddaatbsangat menarik✌🔥🔥🔥,5,2024-02-16 10:40:18,netral,netral,netral
110,saya sangat suka karena bisa dengar cerita yang sangat menarik untuk saya atau tenang cerita horor dari jaman dulu 😆😆😆😆😆,5,2024-02-16 9:56:13,netral,netral,netral
111,"yoo ndk tau ko tanya saya, angin tidak punya KTP, sorry yee",5,2024-02-15 15:23:47,netral,netral,netral
112,Terima Kasih Ya Paranoice Aku dan Noice App Bisa Sesuka Hati,5,2024-02-14 14:13:19,netral,netral,netral
113,"Kenapa nih aplikasi noice ku ngak bisa ke buka cumak muncul logo noice berkali kali, padahal pengen dengerin podcast yang mantep. Aplikasi nya tolong di perbaiki dong soalnya noice mantep banget",2,2024-02-14 14:01:45,netral,netral,negatif
114,Lumayan bagus sih karena updatenya selalu gitu lah pokoknya,4,2024-02-14 9:38:00,netral,netral,netral
116,"loadingnya lama sekali bun, seperti 1000 tahun",1,2024-02-14 2:19:51,netral,netral,negatif
117,Terlalu sering Mengeruk uang jalur VIP adalah jalan Ninja yang salah,1,2024-02-14 1:50:26,netral,netral,netral
119,Rda susah buat dengerin secara gratis sangat terbatas harus bayar baru kayanya bisa di nikmati aplikasinya,2,2024-02-13 1:21:52,netral,netral,netral
122,Iklan nya ngeselin banget dah terlalu lebayy,1,2024-02-11 13:54:00,netral,netral,netral
127,"Entah knp, kalo pake aplikasi noice.. hp ku jadi panas, batre jadi boros.. sedangkan kalo pake spotify atau youtube, mau dipakai nonstop juga hp aman2 aja.",1,2024-02-11 2:38:10,netral,netral,negatif
131,Ngaa bisa di play padahal sinyal bagus,1,2024-02-08 19:22:47,netral,negatif,netral
134,"Apps nya udh bagus tp kenapa ya setiap dengerin di luar apps nya tuh suka berhenti sendiri terus harus ulang dr awal lg padahal sebelumnya nggak gini dan suka nge skip sendiri jd ganggu saat denger Maraton , tolong diperbaiki lagi apps nya",1,2024-02-08 8:24:34,netral,negatif,netral
135,Udah coba re install tetap aja podcast nya tidak bisa di putar,1,2024-02-08 5:47:46,netral,negatif,netral
137,"Ini di video tolong fitur autorotatenya di hapus aja, gangguuuu... Gerak dikit auto berubah",1,2024-02-07 10:25:07,negatif,netral,netral
138,"seru konten"" nya cuyy coba aja download kalo ga percaya",4,2024-02-06 3:59:00,netral,netral,netral
139,Alhamdulillah... pake noice bisa denger radio kesayangan dgn jernih...,5,2024-02-05 22:08:38,netral,positif,netral
140,Seru bgtt apalagi Scary Things 😻,5,2024-02-05 8:46:17,netral,netral,netral
141,"Ini kenapa Koin di naikin untuk musmas.? Bonus koin juga di hilangkan Ngadi"" Terus NOICE saaaat",1,2024-02-04 15:49:31,netral,netral,netral
144,Auto rotate nya ganggu banget,3,2024-02-03 5:10:36,negatif,netral,netral
146,"aku terlalu miskin untuk bisa menikmati konten noice, podcast ada yg harus pake koin agar bisa dengerin, harga koinnya untuk 1 podcast bisa 30-100rb mungkin nanti bisa diadain fitur pilih ads atau koin aja, jadi untuk org seperti sy yg dpt wifi gratis dari kosan juga bisa dengerin noice dengan puter iklan diawal, tapi yaudah lah ya, untuk sekarang emang sebaiknya sy diem di sebelah dulu yg gratisan.",2,2024-02-02 21:08:11,netral,netral,netral
147,knp saya kasih bintang 3 karna setiap saya mau dengerin mencet play cuman muter² doang gk bisa didengerin. padahal koneksi bagus gk ada masalah,3,2024-02-02 16:04:34,netral,negatif,negatif
152,"Udah keren sih, tapi bukunya kurang banyak.",3,2024-01-31 12:07:33,netral,netral,netral
155,"Mohon ditingkatkan lagi ketika membuka aplikasi saat offline, karena pas offline aplikasinya gak bisa kebuka, harus online. Mohon ditingkatkan lagi performa aplikasi, selebihnya bagus😘",3,2024-01-30 13:44:01,netral,netral,negatif
156,Aplikasi bug Masa langsung ke video Mulu kalo di play Berasa YouTube,1,2024-01-30 6:39:37,negatif,negatif,netral
158,Semuanya aja VIP biar makin yakin uninstall,1,2024-01-29 23:10:27,netral,netral,netral
161,mendownload noice cuma untuk bisa dengerin trio kurnia haha,4,2024-01-29 4:35:20,netral,netral,netral
162,"HARUS BANGET BUAT BUKA APLIKASI DOANG PAKE JARINGAN INTERNET????TOLONG DIPERBAIKI BUG NYA BIAR PARANOICE BISA TETEP ENJOY DENGERIN PODCAST YANG UDAH DI DOWNLOAD WAKTU LAGI OFFLINE!!!!MASA PAS OFFLINE BUKA APLIKASI NYA SEBATAS LAYAR ITEM DOANG SAMPE BIKIN HP PANAS GEGARA NUNGGUIN LOGO NOICE NYA GA MUNCUL""",1,2024-01-28 15:23:02,netral,netral,negatif
163,nice good job Bombastis Wadidaw,5,2024-01-28 13:42:06,netral,netral,netral
166,"Happy, aplikasi lokal yg keren, banyak hiburan, buat nemenin hari-hari gw",5,2024-01-27 14:42:06,netral,netral,netral
168,Kenapa ga bisa login gangguan mulu,1,2024-01-26 16:25:04,netral,negatif,netral
170,Tolong dimatikan sensor auto fullscreen video min. Ubah fiturnya menjadi permanen fullscreen,1,2024-01-25 0:50:59,negatif,netral,netral
171,"⭐ 1 dulu lah sekarang ampas ni apk, udah mah ada iklan sekarang rata2 kontennya vip. Maruk bat lu semua aja vip apk jelek tod",1,2024-01-24 22:39:20,netral,netral,netral
175,"Min tambahin fitur buat sorting file download. Baru download podcast filenya posisinya random bisa di tengah, di atas, dibawah",3,2024-01-23 2:58:29,netral,netral,netral
176,"dulu gw suka bgt sama apk ini tapi sekarang udh engga sm sekali, kecewa juga dlu perasaan ngga ada tuh VIP,coin,dll lah nggangu bgt lagi seru seru dengerin cerita malah pas di tengah tengah harus pake coin dlu JELEKK,KECEWA👎👎",1,2024-01-21 13:41:11,netral,netral,netral
179,Sangat membantu saya untuk mengisi hari-hari yang tampak monoton ini. Terima kasih noice.,5,2024-01-19 4:18:56,netral,netral,netral
181,"Baru milih2 yg mau diputer, iklannya sudah 6 biji Maruk amat",1,2024-01-18 4:13:39,netral,netral,netral
182,Admin nya sangat membantu. Terima kasih. Mantap,5,2024-01-17 18:25:04,netral,netral,netral
185,Setelah muncul iklan aplikasinya langsung gamau mutar podcast apapun lagi,5,2024-01-17 3:23:08,netral,negatif,netral
186,tingkatkan dan lbh baik lg,5,2024-01-17 0:39:37,netral,netral,netral
187,ada podcast yg menarik !,5,2024-01-16 4:12:30,netral,netral,netral
188,Aplikasi sdh 5 hari brebet,1,2024-01-16 1:59:47,netral,netral,negatif
190,"mantap banget ini aplikasi noive,coba kalo di tambahin vitur podcast versi vidio nya pasti mantul",5,2024-01-15 19:26:57,netral,positif,netral
192,Radio nye malah ngga bisa dibuka.... Harusnye klo mau bikin podcast bikin baru aje apk nye.... Noice ini khusus buat radio... Jadi ga makan banyak kuota....,1,2024-01-15 3:34:51,netral,negatif,netral
193,"Maaf kak, setiap kali saya mau streaming radio kok ngga bisa ya? Seperti buffering terus?",5,2024-01-14 23:36:47,netral,negatif,netral
194,"Udah keren sekarang, tinggal nambahin lagu aja dah sempurna",5,2024-01-14 14:06:11,netral,netral,netral
195,Beberapa hr yg lalu masih bisa putar radio kis fm 95.1. Tapi kemarin & hari ini sdh nggak bisa. Kenapa yaa.?,1,2024-01-14 11:56:19,netral,negatif,netral
197,"Ini kenapa hari inu ko ga bisa muter radio di aplikasi noice. Cuman muter terus aja, tp g play2 juga.. Uda bersihkan chace, restart jaringan, jg ttp aja. Apakah asa masalag?",4,2024-01-14 6:43:31,netral,negatif,netral
198,mau dengerin radio awalnya iklan terus,5,2024-01-13 12:21:33,netral,netral,netral
199,"aneh, gabisa keluar dari video",1,2024-01-11 17:25:37,negatif,netral,netral
200,kasih 4 bintang dulu ya,4,2024-01-11 16:08:28,netral,netral,netral
201,Kenapa nggak ada podcast bola lagi ?,4,2024-01-11 10:33:53,netral,netral,netral
202,"udh makin banyak iklannya, tiba² kluar² sendiri",3,2024-01-11 8:32:32,netral,netral,negatif
203,Masa aku ngirim nomor WA aku nggak bisa,1,2024-01-11 8:20:50,netral,negatif,netral
204,"Setelah ada video malah suka error. Padahal mau denger audionya aja, tapi pas play defaultnya ke video, hmm",3,2024-01-10 20:23:52,negatif,negatif,negatif
205,"Minimal klo ada iklan, konten nya bisa diganti kek Youtube lah, ini saya mau dengar konten audio baru dari Scary Things keluar iklan, pas mau pindah konten ke audio baru malah dibilang masih ada iklan, sebentar lagi konten dimulai, jadi saya harus menunggu 2 iklan hanya untuk mengganti konten audio",2,2024-01-10 17:54:01,netral,netral,netral
207,Nyedot kuotanya gak kerasa tbtb terkuras,3,2024-01-10 13:56:14,netral,netral,negatif
209,usah ok cuma sekarang kalo mau dengerin kebanyakan yang bayar dari pada gratis,4,2024-01-10 11:35:00,netral,netral,netral
211,"keren banget noice, fiturnya selalu improve, favorite saya selama perjalanan",5,2024-01-09 15:16:25,positif,netral,netral
212,"Mohon untuk videonya dicompress, masa podcast 45 mnitan pake data 2gb. klo app ini di pc ga masalah ini dihp, yg resolusi 480 aja udah cukup.",4,2024-01-08 12:20:00,netral,negatif,netral
213,"Saran saya podcast yang didownload seharusnya juga dapat ditempatkan di kartu SD, bukan hanya penyimpanan internal saja.",5,2024-01-08 1:22:53,netral,netral,netral
214,"Buka aplikasi 3jam kuota abis disedo 4,7Gb",1,2024-01-07 17:37:29,netral,netral,negatif
217,"Loading nya kenapa lama, tiap mau buka aplikasi harus bolak balik ke pengaturan dan hapus data nya dulu. Lalu buka lagi..semenjak diperbarui jadi lemot!",2,2024-01-05 18:29:39,netral,netral,negatif
218,"sebulan yg lalu pernah lagi asik denger podcast, tiba tiba kuota terkuras kurang lebih 1 GB dalam hitungan menit, pas gua cek ternyata pemakaian kuota terbanyak noice reflek langsung uninstall apk, sekarang baru install lagi jadi ga mau ngasih rating gede dulu.",2,2024-01-05 15:56:43,netral,netral,negatif
219,"Developer, ada error saat mau live. Karena itu, ga ada yang bisa ""live"". Sepi deh noice-nya, cuma bisa dengerin audiobook",1,2024-01-05 11:40:07,netral,netral,negatif
221,"Kalo buka konten yang udah di download selalu frame parah, tolong segera diperbaiki",2,2024-01-05 5:21:35,netral,negatif,negatif
222,Noice yang sekarang gak kayak dulu sekarang kebanyakan iklan apalagi iklan nya mamat lagi bahas politik lol baru 5 menit dengerin udah ada iklan kocakkkk,1,2024-01-04 16:20:30,netral,netral,netral
225,"Tidak bisa mendownload episode podcast - Saya ralat, sudah bisa download 👍🏻",5,2024-01-02 16:15:29,netral,netral,netral
226,Udah beli episode vip tapi cuma bisa dengerin setengah jalan aja terus tiba² pindah ke episode selanjutnya. Aku coba buat muter ulang tapi malah gabisa sama sekali.,5,2024-01-02 11:14:20,netral,negatif,netral
228,kenapa sekarang kalo ga pake kuota apk nya ga bisa di buka pdhal dulu bisa,4,2024-01-02 6:54:28,netral,netral,netral
230,"Kenapa setelah langganan 30 hari, dan dowload podcast premium supaya bisa dengar walaupun sudah tidak langganan lagi, kenapa setelah langgananya selesai selalu error dan gak bisa di buka,dan harus hapus chance sama datanya dulu,dan dowloadan premium saya hilang tolong di perbaiki,dan sampai sekarang tidak bisa dibuka walaupun sudah hapus chance dan data tetap tidak bisa di buka, tolong di perbaiki saya udah 10 kali langganan premium dan 1000 jam lebih mendengar noice tolong di tindak lanjuti.",1,2024-01-02 2:32:34,netral,netral,negatif
231,"Entah bug atau apa, iklan muncul 100x sehari.",1,2024-01-02 2:32:01,netral,netral,netral
232,kenapa gabsa denger podcast lagi deh?,1,2024-01-02 1:42:07,netral,negatif,netral
233,"Woiiii lah kurangin iklan kenapa masa gua mau putar podcast malah isi nya iklan 29 detik itu 6x pulak, tolong lah kurangin iklan!!",1,2024-01-02 1:34:57,netral,netral,netral
234,Gua buka aplikasinya cuma blank hitam doang,1,2024-01-02 1:27:01,negatif,netral,negatif
235,"Terimakasih spotify selalu jadi yang terbaik tidak permah bug iklas terus""an 🐀🐽🐸🎈🦊",1,2024-01-02 1:16:20,netral,netral,netral
237,Ya beginilah giliran aplikasi nya sudah laku iklan bertebaran dimana-mana. Aplikasi jelek udah gitu iklannya ngga bisa di skip lagi,1,2024-01-02 1:07:10,netral,netral,netral
239,"Udah di upgrade terbaru, tetep aja black screen. 3kali",3,2024-01-02 0:53:22,negatif,netral,negatif
240,tiba² 2024 malah makin LEMOT padahal hanya sekedar buka aplikasi. terpaksa aku uninstall terus install lagi,2,2024-01-02 0:15:09,netral,netral,negatif
241,"sudah beli beberapa yg VIP (musmas & ruang 28), awal2 lancar jaya, sekarang nggabisa di play. pas mau play malah nge play judul lain",2,2024-01-01 23:30:53,netral,negatif,netral
244,"Pengen dengerin audio ,bukan nonton video",3,2024-01-01 17:47:32,netral,netral,netral
245,Suka banget dengerin podcast moybi,5,2023-12-31 7:16:11,netral,netral,netral
248,Padahal content nya Bagus² tapi sayang loading nya lama banget.,3,2023-12-30 16:53:59,netral,netral,negatif
249,"Dulu saya insyaallah NOICE karna ada Coki-Muslim, setelah mereka gak bareng lagi NOICE saya uninstall, sekarang install lagi karna suka sama Daddy Issues",5,2023-12-30 7:45:33,netral,netral,netral
250,"Kenapa setiap keluar dari aplikasi noice selalu kayak mengulang lagi kontenya, ku kira harus premium ,ternyata sama saja ,sangat mengangu sekali tolong di perbaiki , percuma beli premium",2,2023-12-29 21:34:31,negatif,negatif,netral
252,"Dari awal taunya ini platform audio, harusnya pas buka podcast ya audio jangan langsung video. Mana susah banget mau ganti ke audio. Tolong lah noice kalo buka podcast itu ya diarahin ke audio dulu, kalo video itu pilihan aja. Jadi ga nyaman banget nih apk nya. Karena admin ramah langsung saya ganti jadi bintang 5.",5,2023-12-28 2:30:34,negatif,netral,netral
255,Tolong lebihin lah top up ya sangat kureng,5,2023-12-27 8:25:32,netral,netral,netral
257,"Kenapa tiap buka file download tiba tiba aplikasi ngefreeze abis itu close sendiri, rugi gw dah download bnyak gak bisa distel...",1,2023-12-25 12:08:09,netral,netral,negatif
259,"Temen-temen gue belum pada tahu aplikasi Noice, makanya gue download",5,2023-12-24 16:17:06,netral,netral,netral
260,Ni mah mau ngabisin duit pebgguna/user masa berbayar cuma mau dengerin satu episode .. setidaknya di beri langganan bukan satu episode podcats harus bayar kontoll,1,2023-12-23 16:07:07,netral,netral,netral
261,"Tolong perbaiki auto rotate nta di mode videonya. Terlalu sensitf, miring sedikit langsung rotate",3,2023-12-23 1:12:44,negatif,netral,netral
264,solusi bengong ga ada kerjaan,5,2023-12-21 0:46:35,netral,netral,netral
265,"Setelah update, kok saya dengerin podcast yg udh di koleksi(downloaded) tapi lemot banget?? Tolong di perbaiki, saya sudah coba segala cara salah satunya hapus chace. Tetap lemot banget",2,2023-12-20 17:36:55,netral,netral,negatif
270,Aplikasi podcast Indonesia yg luar biasa 🤩,5,2023-12-19 7:52:39,netral,netral,netral
271,"Bisa bisanya fiture live nya bermasalah dong abis update, bukan makin bagus malah makin ga jelas",1,2023-12-19 1:57:25,netral,negatif,netral
274,"Tau aja orang kebanyakan download apk ini karena mau denger konten MUSMAS, ehh di mahalin 100 koin/konten MAAP YA MAHAALLLLLLL",1,2023-12-18 5:50:05,netral,netral,netral
275,"Podcast yang ada pilihan versi video menyedot kuota, padahal sudah dipilih yang versi audio dan sudah didownload sebelumnya. Bikin repot tiba2 kuota habis di perjalanan, padahal layar hape ga nyala juga.",1,2023-12-18 2:17:26,netral,negatif,netral
276,Malem di kasih iklan horor?,1,2023-12-17 17:21:44,netral,netral,netral
277,"Noice sekarang malah jadi buruk, cuma cabut headset aja jadi hilang suaranya..room jg udah gk bisa kan..",1,2023-12-17 13:19:50,netral,negatif,netral
281,"Tolong!!!! Iklannya horor mulu, perasaan gk pernah dengerin podcast horror di noice. Konten2 noice nggak cuma horror doang please. Bisa iklan yang lain lah, ganggu banget.",2,2023-12-16 20:48:34,netral,netral,netral
282,Maaf kak buat live tidak bisa soal barusan di update,3,2023-12-15 11:59:32,netral,negatif,netral
284,"Aplikasi noice semakin kesini, semakin sulit utk dipakai, dan sering force close saat buka list download .",2,2023-12-14 2:15:32,negatif,netral,negatif
285,"autorotate videonya ganggu banget, jadi terjeda2",3,2023-12-13 23:32:20,negatif,netral,netral
288,Kenapa klo di minimize mesti keluar sendiri sih. Harus ngulang dari awal pula,3,2023-12-13 7:32:31,netral,negatif,netral
289,Aku rindu noice yang dulu 😭😭 kembalikan noice yang dulu,5,2023-12-13 4:57:53,netral,netral,netral
291,"Mending nonton YOUTUBE atau SPOTIFY... Noise iklannya kayak kontoI, gak akan berkembang ni aplikasi gua jamin wkwkwkwkw",1,2023-12-13 1:11:02,netral,netral,netral
292,Aplikasi favorit tapi topup coin nya ribet bener,4,2023-12-12 15:39:30,netral,netral,netral
295,"bintang 3 dlu, klo kontrak berizik diperpanjang baru bintang 5",5,2023-12-11 12:30:44,netral,netral,netral
296,"Buka aplikasi nya lama banget, hai noice tolong perbaiki lah",3,2023-12-11 11:55:19,netral,netral,negatif
298,"Tolong lahh kemaren² frekuensi audio mustang fm rada kenceng, knp sekarang jadi pelan kayak radio lain... Ayo kencengin lagi lahh biar ngga perlu tingkatin volume di hp",3,2023-12-11 9:50:48,netral,negatif,netral
299,"Sekarang aplikasi sering crash, padahal dulu gak pernah crash atau error. Kenapa ya?",2,2023-12-11 7:09:22,netral,netral,negatif
300,Thank u noice udah ada musmas ber tiga,5,2023-12-11 5:30:57,netral,netral,netral
