,clean_review,pengalaman visual,fungsi,performa dan stabilitas
26,kocak aplikasi langganan bayar bulanan vip sekarang konten vip yang pasti diunlock musmas contoh hiduplah indonesia maya vip butuh koin sudah langganan vip kocak deh sudah dibayarin malas deh membuka vip konten tidak dengar tidak apa,netral,netral,netral
27,ya top naik tidak saat pembayarannya kemarin lancar saja,netral,netral,negatif
28,bagus aplikasi nya aplikasi nya admin merespon gercep,netral,netral,netral
29,mohon perbaiki konten aplikasi bima myim3 menampilkan konten usang,netral,netral,netral
30,dengar radio indonesia podcast anak bangsa,netral,positif,netral
31,hot 93 2 fm hot 105 fm nirwana cintaku prancis ajaib sipit mark ing women dan ladies dan berani cinta aku kiss ayo cinta aku sama raden miliar sakaweuning,netral,netral,netral
32,noice buka konten iklan saat buka channelnya saja sudah masuk iklan konten dibuka sudah klik keputar konten channel menunggu 2 4 iklan mengganti audio ya paham iklan seperti ini sekali begitu mengorbankan kenyamanan pengguna jumawa pengguna saja mencari platform enak noice seperti ini,netral,netral,netral
33,harap jadi noice bisa jaya tidak kalah sama youtube,netral,netral,netral
34,bagaimana sebenarnya selaim him musmas pakai premium yang terkunci,netral,netral,netral
35,sudah beli paket premium 150 koin tetap tidak bisa dengarkan vip noice kekunci vip nya,netral,netral,netral
36,ku aplikasi konten audio konten nya bagus bagus lucu berpikir jenis nya kalau suka musmas ruang 28 makan tidak koin noice nomor 1 hanya saran auto rotasi video nya dibagusin mutar mutar ponsel ku kalau menonton videonya sudah atur ponsel kunci rotasi tetap berputar berputar semoga noice amin,negatif,netral,netral
37,balikin 20rb aku deh top naik koin tidak masuk,netral,netral,netral
38,halo noice tolong dipercepat transaksi coinnya tidak tahu pembayaran bagaimana coinnya tidak nambah2 sudah buka konten berbayar memang harganya tidak kecewa kali nya platform,netral,netral,netral
39,sepi peminat bagus loh aplikasinya hanya pelayanan keluhan tidak ditanggapi,netral,netral,netral
40,unduh dengarkan musuh masyarakat deh bungkus terpaksa unistall,netral,netral,netral
41,daftar saja tidak geser bagaimana siii tolong eror memaksa close uninstall daftar tidak geser saat username tidak gimanaaaaaa,negatif,netral,negatif
42,tidak masuk fb,netral,netral,netral
43,memaksa close buka lagi iklan saja 30 detik ampas,netral,netral,negatif
44,tidak koneksi internet internet wifi saya kencang versi tidak,netral,netral,negatif
45,pokoknya mantaplah poadcastnya radionya sukses terus,netral,netral,netral
46,aplikasinya bagus dipenjara dengarkan,netral,netral,netral
47,lebih baik cri yang gratis,netral,netral,netral
48,bring kembali podcast kena mental,netral,netral,netral
49,playlist yang sudah simpan mala tidak penyebabnya,netral,netral,netral
50,kebanyakan berbayar tidak seperti dahulu perlu,netral,netral,netral
51,aplikasiini aneh tidak berlangganan dengarkan audioseries aman aman saja eh langganan eror lihat episode tidak bisa aneh,netral,negatif,netral
52,noice pembaruan masalaahhh auto lngsng hapuss aplikasi,netral,netral,netral
53,dengarkan kakak pandji tapii tidak bisa kebukaa,netral,netral,netral
54,perlu sekali habis unduh offline closed aplikasi episode unduh hilang unduh ulang,netral,negatif,netral
55,pengguna noice instal kaget sekali sekarang berbayar dahulu bagus sekali karena selalu gratis lewati,netral,netral,netral
56,dengarkan sudah pakai kuota pakai berbayar coint,netral,netral,netral
57,dengar cerita sedih cerita nya terima kasih menciptakan aplikasi cinta kamu lebih,netral,netral,netral
58,bagus puas pakai aplikasi,netral,netral,netral
59,tidak langsung ini bagaimana caraya,netral,netral,netral
60,aplikasi noice kali dengarkan podcast sekali memaksa close tiba-tiba mati diulang tolong diperbaiki appnya sudah diupdate saja terus bikin kesel saja dengarkan podcast noice aplikasi tidak,netral,negatif,negatif
61,streaminh radio mudah,netral,positif,netral
62,bagus seruuuu nemenin tidur,netral,netral,netral
63,semoga yang yang terkunci pakai koin buka menontón iklan 1 2 kali membanyaki yang versi gratisnya orang yang tidak beli koinya tidak uang orang seperti yang beli koin,netral,netral,netral
64,rocomend sekali pengganti radio,netral,netral,netral
65,kalau radio bangka belitung mengadakan,netral,netral,netral
66,tlong bikin kafe minimarket karena karakter sebagai platfom poddaatbsangat menarik,netral,netral,netral
67,suka dengar cerita menarik tenang cerita horor zaman,netral,netral,netral
68,ayo ndk tahu kok angin tidak ktp maaf ya,netral,netral,netral
69,terima kasih ya paranoice noice aplikasi sesuka hati,netral,netral,netral
70,ini aplikasi noice ku tidak buka cumak muncul logo noice berkali kali ingin dengarkan podcast mantap aplikasi nya tolong perbaiki noice mantap sekali,netral,netral,negatif
71,lumayan bagus sebenarnya pembaruannya begitu pokoknya,netral,netral,netral
72,loadingnya bun 1000,netral,netral,negatif
73,mengeruk uang jalur vip jalan ninja salah,netral,netral,netral
74,rda susah dengarkan gratis terbatas bayar sepertinya nikmati aplikasinya,netral,netral,netral
75,iklan nya mengesalkan sekali deh berlebihan,netral,netral,netral
76,kenapa kalau pakai aplikasi noice ponsel ku panas batre boros kalau pakai spotify youtube dipakai nonstop ponsel aman2 saja,netral,netral,negatif
77,ngaa putar sinyal bagus,netral,negatif,netral
78,aplikasi nya sudah bagus tetapi ya dengarkan aplikasi nya itu suka berhenti ulang dari lagi tidak seperti ini suka nge lewati jadi ganggu dengar maraton tolong diperbaiki aplikasi nya,netral,negatif,netral
79,sudah coba re instal saja podcast nya tidak putar,netral,negatif,netral
80,video tolong fitur autorotatenya hapus saja gangguuuu gerak sedikit auto berubah,negatif,netral,netral
81,seru konten nya teman coba saja unduh kalau tidak percaya,netral,netral,netral
82,alhamdulillah pakai noice dengar radio kesayangan dengan jernih,netral,positif,netral
83,seru sekali takut hal,netral,netral,netral
84,koin menaikkan musmas bonus koin hilangkan ngadi noice saaaat,netral,netral,netral
85,auto rotate nya ganggu sekali,negatif,netral,netral
86,miskin menikmati konten noice podcast yang pakai koin dengarkan harga koinnya 1 podcast 30 100rb diadain fitur pilih ads koin saja orang saya yang dapat wifi gratis kosan dengarkan noice puter iklan diawal ya sudah ya memang saya diam sebelah yang gratisan,netral,netral,netral
87,kenapa kasih bintang 3 karena dengarkan mencet putar hanya muter² saja tidak didengerin koneksi bagus tidak,netral,negatif,negatif
88,sudah keren sebenarnya bukunya,netral,netral,netral
89,mohon ditingkatkan membuka aplikasi offline saat offline aplikasinya tidak kebuka daring mohon ditingkatkan performa aplikasi selebihnya bagus,netral,netral,negatif
90,aplikasi eror langsung video terus kalau putar berasa youtube,negatif,negatif,netral
91,saja vip supaya uninstall,netral,netral,netral
92,mendownload noice dengarkan trio kurnia tertawa,netral,netral,netral
93,sekali buka aplikasi saja pakai jaringan internet tolong diperbaiki eror nya supaya paranoice tetap enjoy dengarkan podcast sudah unduh offline saat offline buka aplikasi nya sebatas layar hitam saja sampai bikin ponsel panas gegara menunggu logo noice nya tidak muncul,netral,netral,negatif
94,bagus bagus pekerjaan bombastis wadidaw,netral,netral,netral
95,bahagia aplikasi lokal yang keren hiburan nemenin aku,netral,netral,netral
96,tidak masuk gangguan terus,netral,negatif,netral
97,tolong dimatikan sensor auto fullscreen video admin ubah fiturnya permanen fullscreen,negatif,netral,netral
98,1 ampas ini aplikasi sudah itu iklan rata2 kontennya vip maruk sekali kamu saja vip aplikasi jelek tod,netral,netral,netral
99,admin tambahkan fitur sorting berkas unduh unduh podcast filenya posisinya acak di bawah,netral,netral,netral
100,aku suka sekali aplikasi sudah tidak sama kecewa dahulu perasaan tidak itu vip coin dan lain lain nggangu sekali seru seru dengarkan cerita saat pakai coin dahulu jelekk kecewa,netral,netral,netral
101,membantu mengisi monoton terima kasih noice,netral,netral,netral
102,milih2 yang diputer iklannya 6 biji maruk,netral,netral,netral
103,admin nya membantu terima kasih mantap,netral,netral,netral
104,muncul iklan aplikasinya langsung tidak ingin mutar podcast apapun,netral,negatif,netral
105,tingkatkan lebih lagi,netral,netral,netral
106,podcast yang menarik,netral,netral,netral
107,aplikasi sudah 5 brebet,netral,netral,negatif
108,mantap sekali aplikasi noive coba kalau tambahkan vitur podcast versi vidio nya mantul,netral,positif,netral
109,radio nye tidak dibuka harusnye kalau bikin podcast bikin saja aplikasi nye noice khusus radio tidak makan kuota,netral,negatif,netral
110,maaf kakak kali menonton radio tidak ya buffering,netral,negatif,netral
111,sudah keren tinggal nambahin lagu saja deh sempurna,netral,netral,netral
112,hari yang putar radio kis fm 95 1 kemarin sudah tidak ya,netral,negatif,netral
113,inu kok tidak berputar radio aplikasi noice hanya berputar saja tetapi tidak play2 sudah bersihkan chace restart jaringan juga tetap saja asa masalag,netral,negatif,netral
114,dengarkan radio iklan,netral,netral,netral
115,aneh tidak bisa video,negatif,netral,netral
116,kasih 4 bintang ya,netral,netral,netral
117,tidak podcast bola,netral,netral,netral
118,sudah iklannya tiba² kluar²,netral,netral,negatif
119,mengirim nomor wa tidak,netral,negatif,netral
120,video suka eror dengar audionya saja saat putar defaultnya video hmm,negatif,negatif,negatif
121,minimal kalau iklan konten nya diganti seperti youtube dengar konten audio takut hal iklan saat pindah konten audio katanya iklan sebentar konten menunggu 2 iklan mengganti konten audio,netral,netral,netral
122,nyedot kuotanya tidak merasakan tiba terkuras,netral,netral,negatif
123,setuju kalau dengarkan kebanyakan bayar gratis,netral,netral,netral
124,keren sekali noice fiturnya meningkat favorite perjalanan,positif,netral,netral
125,mohon videonya dicompress podcast 45 mnitan pakai data 2gb kalau aplikasi komputer tidak dihp yang resolusi 480 saja sudah,netral,negatif,netral
126,saran podcast didownload ditempatkan kartu sekolah dasar penyimpanan internal,netral,netral,netral
127,buka aplikasi 3jam kuota habis disedo 4 7gb,netral,netral,negatif
128,memuat nya buka aplikasi bolak pengaturan hapus data nya buka semenjak diperbarui lambat,netral,netral,negatif
129,sebulan yang asyik dengar podcast kuota terkuras 1 gb hitungan menit saat aku cek pemakaian kuota noice reflek langsung uninstall aplikasi instal tidak mengasih rating besar,netral,netral,negatif
130,developer eror langsung tidak langsung sepi deh noice nya dengarkan audiobook,netral,netral,negatif
131,kalau buka konten sudah unduh frame parah tolong diperbaiki,netral,negatif,negatif
132,noice tidak seperti kebanyakan iklan iklan nya mamat bahas politik tertawa 5 menit dengarkan sudah iklan kocakkkk,netral,netral,netral
133,tidak mendownload episode podcast ralat unduh,netral,netral,netral
134,sudah beli episode vip dengarkan jalan saja tiba² pindah episode coba berputar ulang tidak bisa,netral,negatif,netral
135,kalau tidak pakai kuota aplikasi nya tidak buka padahal,netral,netral,netral
136,langganan 30 dowload podcast premium dengar tidak langganan langgananya selesai eror tidak buka hapus chance datanya dowloadan premium hilang tolong perbaiki tidak dibuka hapus chance data tidak buka tolong perbaiki sudah 10 kali langganan premium 1000 jam mendengar noice tolong tindak lanjuti,netral,netral,negatif
137,eror iklan muncul 100x setiap hari,netral,netral,netral
138,gabsa dengar podcast deh,netral,negatif,netral
139,woiiii kurangi iklan aku putar podcast isi nya iklan 29 detik 6x pula tolong kurangi iklan,netral,netral,netral
140,aku buka aplikasinya blank hitam saja,negatif,netral,negatif
141,terima kasih spotify terbaik tidak permah eror iklas an,netral,netral,netral
142,ya giliran aplikasi nya laku iklan bertebaran di mana aplikasi jelek sudah begitu iklannya tidak lewati,netral,netral,netral
143,sudah upgrade terbaru tetap saja hitam screen 3kali,negatif,netral,negatif
144,tiba² 2024 lambat sekadar buka aplikasi terpaksa uninstall instal,netral,netral,negatif
145,beli yang vip musmas ruang 28 awal-awal lancar jaya nggabisa putar saat putar nge putar judul,netral,negatif,netral
146,ingin dengarkan audio menonton video,netral,netral,netral
147,suka sekali dengarkan podcast moybi,netral,netral,netral
148,konten nya bagus² sayang memuat nya sekali,netral,netral,negatif
149,insyaallah noice karena coki muslim tidak bareng noice uninstall instal karena suka daddy issues,netral,netral,netral
150,aplikasi noice seperti mengulang kontenya ku premium mengangu tolong perbaiki beli premium,negatif,negatif,netral
151,tahunya platform audio saat buka podcast ya audio langsung video susah sekali ganti audio tolong noice kalau buka podcast ya diarahin audio kalau video pilihan saja tidak nyaman sekali ini aplikasi nya admin ramah langsung ganti bintang 5,negatif,netral,netral
152,tolong lebihin top naik ya kureng,netral,netral,netral
153,buka berkas unduh aplikasi ngefreeze habis close rugi aku deh unduh banyak tidak distel,netral,netral,negatif
154,teman teman aku aplikasi noice aku unduh,netral,netral,netral
155,ini itu ngabisin uang pebgguna pengguna berbayar dengarkan episode langganan episode podcats bayar kontoll,netral,netral,netral
156,tolong perbaiki auto rotate nta mode videonya sensitf miring langsung rotate,negatif,netral,netral
157,solusi bengong tidak pekerjaan,netral,netral,netral
158,pembaruan dengarkan podcast yang sudah koleksi downloaded lambat sekali tolong perbaiki coba salah satunya hapus chace lambat sekali,netral,netral,negatif
159,aplikasi podcast indonesia yang,netral,netral,netral
160,bisanya fiture langsung nya bermasalah habis pembaruan bagus tidak,netral,negatif,netral
161,tahu saja orang kebanyakan unduh aplikasi dengar konten musmas eh mahalin 100 koin konten maaf ya mahaalllllll,netral,netral,netral
162,podcast pilihan versi video menyedot kuota dipilih versi audio didownload bikin repot tiba-tiba kuota habis perjalanan layar ponsel tidak nyala,netral,negatif,netral
163,malam kasih iklan horor,netral,netral,netral
164,noice buruk pergi headset saja hilang suaranya room juga sudah tidak,netral,negatif,netral
165,tolong iklannya horor terus perasaan tidak dengarkan podcast horror noice konten-konten noice tidak horror saja tolong iklan ganggu sekali,netral,netral,netral
166,maaf kakak langsung tidak baru saja pembaruan,netral,negatif,netral
167,aplikasi noice ke sini sulit untuk dipakai memaksa close buka daftar unduh,negatif,netral,negatif
168,autorotate videonya ganggu sekali terjeda2,negatif,netral,netral
169,kalau minimize pasti sebenarnya mengulang,netral,negatif,netral
170,rindu noice kembalikan noice,netral,netral,netral
171,lebih baik menonton youtube spotify noise iklannya seperti kontoi tidak berkembang ini aplikasi aku jamin wkwkwkwkw,netral,netral,netral
172,aplikasi favorit topup coin nya rumit benar,netral,netral,netral
173,bintang 3 dahulu kalau kontrak berizik diperpanjang bintang 5,netral,netral,netral
174,buka aplikasi nya sekali halo noice tolong perbaiki,netral,netral,negatif
175,tolong lah kemaren² frekuensi audio mustang fm agak kencang kenapa pelan seperti radio ayo kencengin lah supaya tidak tingkatin volume ponsel,netral,negatif,netral
176,aplikasi crash tidak crash eror ya,netral,netral,negatif
177,thank kamu noice sudah musmas ber,netral,netral,netral
178,noice keren yang menemani di mana saja dijalan arah kerja pulang kerja keren polll sukses terus noicee,netral,netral,netral
179,bagus sekali seru suka dengar takut tings,netral,netral,netral
180,menyesal pembaruan aplikasi tidak buka offline,netral,netral,negatif
181,ku suka cerita horor nya sama sejarah nya bagus sekali temenin kalau lagi masak kegiatan lainnya,netral,netral,netral
182,habis pembaruan nyedot kuota maksa video terus konten sudah didownload,netral,negatif,netral
183,beli koin tidak menyelesaikan pembelian pastikan memilih negara akun putar tidak otak atik aman aman saja beli koin,netral,netral,netral
184,iklan vidio,netral,netral,netral
185,noice kenapa aplikasimu buka memuat looping buka memuat nya padahal nya tidak seperti ini loh,netral,netral,negatif
186,eror pilih dengarkan audio saja tidak pakai video tidak bisa harus dengarkan putar video boros kouta,netral,negatif,netral
187,kasih opsi matiin video otomatis nyala makan kuota saja sial,netral,negatif,netral
188,periode 4 november 4 desember bikin rugi sekali sudah buka noice premium eh podcaster nya tidak pembaruan pembaruan,netral,netral,netral
189,wooy noice lihat podcast ganti podcast sialan noice kntl,netral,negatif,netral
190,pakai untukradio menonton lokal bali bali cepat sekali tidak bupper,netral,positif,netral
191,mantap maju layanan publik terintegrasi pengguna noice dunia indonesia indonesia dunia,netral,netral,netral
192,tidak memutar unduh konten gratis,netral,negatif,netral
193,kecewa sudah tidak offline sekarang aplikasi favorit aku,netral,netral,netral
194,jelek bagusan spotify,netral,netral,netral
195,pembaruan aplikasi sulit loadingnya sekali sinyal kuat kuota sampah ponsel sudah dibersihin perangkat mendukung why noice tidak dengar offline didownload daring mengecewakan,netral,negatif,negatif
196,iklannya menyebalkan minimize berdurasi,netral,negatif,netral
197,bagus sekali tetapi knapa nyedot kuotanya besar sekali sampai 1 9gb ya padahal konten audio,netral,negatif,netral
198,hadirin versi tvnya supaya dengar podcast dari tv,netral,netral,netral
199,habis pembaruan suara volume sudah naik padahal mengira ponsel aku yang eror tidak tahunya memang aplikasinya saat coba musik ponsel volume naik memang kencang perlu pembaruan terus bukannya benar turun,netral,negatif,netral
200,keren noice perbanyak kontennya,netral,netral,netral
201,didownload putar loding tunggu daring,netral,negatif,netral
202,sekali iklan ngeganggu sudah 2 iklan tidak diskip pula,netral,netral,netral
203,tolong noice kalau masukkan iklan pengguna memilih pilihan podcast belum sudah iklan terus memilih podcast iklan iklan terus iklan ya memilih podcast sudah iklan tidak jelas contoh youtube itu kasih pilihan klik video yang tonton diberi iklan memilih sudah iklan hadehhhhhh bintang 1 ah sudah bintang 5 paten,netral,netral,netral
204,bert bert bert,netral,netral,netral
205,hitam green benar memuat nya,negatif,netral,negatif
206,orang suka radio sulit tidak suka aplikasi,netral,netral,netral
207,parah tidak masuk saat membaca peraturan tidak lanjutkan,negatif,netral,negatif
208,recomended malas baca tinggal dengarkan saja podcast,netral,netral,netral
209,lupa dengarkan berizik podcast musik gaul,netral,netral,netral
210,sedikit berenti terus yang diputer aneh sekali,netral,negatif,netral
211,cocok karena lagu-lagu yang suka bisa jadi nada dering ponsel,netral,netral,netral
212,tidak sreg noice,netral,netral,netral
213,bagus sekali kumpul audio konten podcast radio musik,netral,netral,netral
214,aplikasi mantab,netral,netral,netral
215,tolong bikin noice khusus audio saja vidio noice lite noice rumit,negatif,netral,netral
216,usul menyebarkan podcastnya tidak setiap hari,netral,netral,netral
217,keren tetapi kuotane entek akeh,netral,netral,netral
218,aplikasi iklan nya,netral,netral,netral
219,sungguh menyukai aplikasi noice sungguh bagus kasih bintang 5,netral,netral,netral
220,deh tidak putar web seperti hadehh,netral,netral,netral
221,iklan sebenarnya bisa kebanyakan sudah alih iklan,netral,netral,netral
222,tidak perlu rebutan radio mobil sekarang sudah nampilin judul lagu yang diputar tetapi tolong tingkatkan lagi supaya kelihatan penuh judul lagu yang diputar gacuma sepotong saja terima kasih,netral,netral,netral
223,podcast kena mental dibungkus alasan aku unduh karena itu podcast podcast garing tidak,netral,netral,netral
224,tolong tampilan playlist dibikin sederhana rumit sekali mengatur podcast yang sudah didengerin seperti otomatis ngulang2,negatif,netral,netral
225,suka dengarkan podcast motor,netral,netral,netral
226,bagus aplikasi nya suka,netral,netral,netral
227,tolong kasih fitur lock rotasi fullscreen noice video ganggu sekali ponsel miring sedikit eh videonya gajadi fullscreen langganan premium supaya lihat konten video berpikir berpikir langganan,negatif,netral,netral
228,komentar episode hilang admin,netral,netral,netral
229,ingin dengarkan noice pembaruan berita ruang 28 versi web eror tidak putar ram device tidak pasti unduh noice putar store solusinya ya tinggal web webnya tidak dibener perbaiki aplikasi kapitalis seperti telkomsel,netral,netral,netral
230,dengarkan podcast bentuk video layar auto rotate mohon adakan fitur lock rotasi layar menonton landscape tiduran,negatif,netral,netral
231,bagus iklan kalau gratisin saja ya pendengar noice senang aplikasi recommendasiin kerabat keluarga pokoknya deh kalau semua2 gratis komentar sekian terima gaji,netral,netral,netral
232,aplikasi iklan jangan unduh,netral,netral,netral
233,bikin android tv admin,netral,netral,netral
234,aplikasi perlu sudah top naik mahal mahal coin nya tidak masuk,netral,negatif,netral
235,top naik coin coin tidak bertambah maaf berhenti dengarkan konten noice,netral,negatif,netral
236,bagaimana sebenarnya sudah top naik gamasuk koinnya dana sudah dibayar,netral,negatif,netral
237,tidak kaitkan akun ya pakai akun tamu,netral,negatif,netral
238,program noice yang bagus-bagus tidak diperpanjang boba obrolan lelaki dan lain lain kembalikan,netral,netral,netral
239,kembalikan profile pembaruan efisien komentar logo subscription diikuti konten vip dibeli tampilan latar berbeda noice premium tampilan playlist pengguna publik koin dihabiskan noice segini selanjutnya pembaruan terimplementasi langsung bintang 5 apresiasi saran email langsung,negatif,netral,netral
240,sebenarnya aplikasi keren memang benar serius sekali ambil care dengan orang yang konten yang,netral,netral,netral
241,bagaimana sebenarnya langganan pakay gopay kok tidak bisa tidak jelas sekali,netral,negatif,netral
242,tidak backsound nya jadi greget dclien puas dengan tim detektif astral coba disamain dengan yang youtube versi audio saja,netral,netral,netral
243,yang suka menonton podcast yang berisi audio ini sebenarnya noice benaran kasih yang beda serasa menonton podcast menonton video buka aplikasi jadi dengar konten audio favorit ngerjakan pekerjaan,netral,positif,netral
244,bagus saran pengguna gratis tolong dibiarkan playlist acara vip sekadar memasukan playlist memudahkan memilih langganan channel terima kasih,netral,netral,netral
245,coin sekali masuknya hadeuh oremium saja terbatasnya menyesal sayaaa,netral,negatif,netral
246,tiba-tiba berhenti di perbaharui radio nya tidak di akses,netral,negatif,negatif
247,kontennya bagus-bagus sayang sekali aplikasinya jelek saran ngelola aplikasi lebih baik surrend deck belajar deck beban tim buta map,netral,netral,netral
248,malas sekali buka noice iklan nya brutal sekali aplikasi seperti youtube dan lain lain juga premium tetapi tidak sebrutal iklan nya,netral,netral,netral
249,perubahan bintang karena tim gercep membenahi aplikasinya dm langsung oleh email terima kasih admin,netral,netral,netral
250,halo bagaimana aktifkan noice premium ya tinggal beli 30 coin langsung aktif kah noice premium nya bagaimana coba tidak,netral,netral,netral
251,bagus wadah mendengar didengar pemikiran apapun menghujat apapun menghargai perbedaan,netral,netral,netral
252,fitur radio susah dimainkan,netral,negatif,netral
253,tidak masuk fb tidak metode masuk menu profile,netral,negatif,netral
254,tidak bisa suaranya,netral,negatif,netral
255,tingkatkan maju noice podcast sampai puncaknya ya zone,netral,netral,netral
256,tolong radionya diperbaiki sekali eror tidak bisa diputer,netral,negatif,netral
257,suka sekali sama ini aplikasi the besttt lahhhhh kalau podcast² aku suka dengar podcast takut hal seru sekali jujurrr ini aplikasi worth itu sekali dengar offline cinta cinta deh kalau ada bintang 10 aku kasih rat 1000 10 sebenarnya,netral,positif,netral
258,suka aplikasi kerena suka dengar podcast,netral,netral,netral
259,bagus sekali agak kesel sekali premiumnya,netral,netral,netral
260,lagi asyik dngerin kali trkluar sendiri audio mati saat dngerin iklan sudah selesai iklan trkeluar begitu saja terus,netral,negatif,negatif
261,akun tidak langganan bulanan,netral,netral,netral
262,bintang dinaikin sudah dibaca keluhan terbesar eror tiba-tiba berhenti saat nyalain dibikin bosan menunggu iklan menit seperti seperti ini bikin bosan sekali,netral,netral,negatif
263,aplikasi nya bagus cerita horor film donwload tidak putar sialan tidak buang data memang akan ettdah negatif aku,netral,negatif,netral
264,kok tidak masuk ya gangguan tlng,netral,netral,negatif
265,bermanfaat menambah wawasan,netral,netral,netral
266,eror noice saat putar vidio podcast puter sendiri layarnya,negatif,netral,netral
267,lihat langganan nya tidak,netral,netral,negatif
268,menghilangkan overlay di bawah bagaimana ya ganti akun sebelah tidak bisa ganti akun,netral,netral,netral
269,asyik seru iklanya normal tidak mengganggu dengarkan podcast,netral,positif,netral
270,iklannya suka ngebug tolong ganggu sekali,netral,negatif,netral
271,5 menit mati menonton podcast jaringan lancar mohon perbaiki,netral,negatif,netral
272,aplikasi lumayan dengarkan radio daring,netral,netral,netral
273,enak tidak bosan dengar nya seru dengar,netral,netral,netral
274,pakai wifi tidak berputar,netral,negatif,netral
275,opini malam tidak,netral,netral,netral
276,tidak tahu sore dengarkan romance dawn dapat iseng lihat lalu lintas paket data 1 5gb hanya mode suara tidak pakai video,netral,negatif,netral
277,aplikasi tulil sinyal aku lancar saat nge putar macet macet tidak jelas memang benar dengar podcast ijo saja njinkkxxx,netral,negatif,netral
278,suka iklan nya noice tidak langsung atur otomatis mati saat iklan,netral,netral,netral
279,sedikit sedikit iklan ganggu benar asli,netral,netral,netral
280,halo mengembangkan noice kendala putar otomatis bagian audiobook judul buku audiobook mampun audiobook menu antrean berkas audio dengarkan langsung pada data internet coba semoga noice,netral,negatif,netral
281,kalau save data sekolah dasar setuju,netral,netral,netral
282,trio kurnia always ini punyaku heart,netral,netral,netral
283,kurangi durasi iklan iklan 30 detik muncul 2x,netral,netral,netral
284,bagus seru tidak gabut kalau tidak kuota,netral,positif,netral
285,iklan nya teman dengarkan cerita saat pergantian iklan bikin dengar cerita tidak tegang,netral,netral,netral
286,sudah unduh podcast tetapi saat didownload masih kosong,netral,negatif,netral
287,fitur widget,netral,netral,netral
288,setuju konten audio yang kreatif fitur berpindah konten__pemutaran konten yang berjalan mode minimized kekurangan radio ditiap daerah iklan rokok berlangganan iklan tidak terima kasih mudah mudahan ke depannya fitur yang berguna sematkan kreatif thanx besar,positif,positif,netral
289,aplikasi sebenarnya deh unduh tidak putar jelek aplikasi nya,netral,negatif,netral
290,aplikasi menyenangkan podcast seru edukatif,netral,netral,netral
291,kalau comment tidak kelihatan aktifitas ya semenjak beli vip,netral,netral,netral
292,bagus hanya ya saja berbayar tidak iklan tertawa puas dengar podcast kesukaan,netral,positif,netral
293,semenjak habis pembaruan kalau yang tipe video suka sendiri tidak fullscreen aneh bnerin lagi tolong noice bosan ini paranoice nanti,negatif,netral,negatif
294,dengar,netral,netral,netral
295,aplikasinya bagus coba,netral,netral,netral
296,premium sebenarnya kocak malas aku dengeri nya deh konten gratis sedikit pendapatan iklan saja sudah suruh premium hedeh,netral,netral,netral
297,aplikasi favvv semua podcast cerita yang aplikasi bagus semua,netral,netral,netral
298,sekarang noice bayar pakai koin konten iklan di mana,netral,netral,netral
299,radio kesukaan dakta,netral,netral,netral
300,kembalikan podcast seks dan saja city,netral,netral,netral
