,user_review,pengalaman visual,fungsi,performa dan stabilitas,case_fold,remove_punctuation,remove_whitespace,stopword_removal,normalize
19,Aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,netral,netral,negatif,aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,aplikasi ya bagus kalo donload episodenya ko banget tolong perbaiki,aplikasi ya bagus kalau donload episodenya kok sekali tolong perbaiki
20,"Makin kesini noice makin kapitalis dikit-dikit pakai duit, sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat",netral,netral,netral,"makin kesini noice makin kapitalis dikit-dikit pakai duit, sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat",makin kesini noice makin kapitalis dikit dikit pakai duit  sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat,makin kesini noice makin kapitalis dikit dikit pakai duit  sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat,kesini noice kapitalis dikit dikit pakai duit berlangganan aja konten pakai duit musuh masyarakat,ke sini noice kapitalis sedikit sedikit pakai uang berlangganan saja konten pakai uang musuh masyarakat
21,"Aplikasi nya sering lag, dan saat menyalakan radio sering tidak berjalan",netral,negatif,negatif,"aplikasi nya sering lag, dan saat menyalakan radio sering tidak berjalan",aplikasi nya sering lag  dan saat menyalakan radio sering tidak berjalan,aplikasi nya sering lag  dan saat menyalakan radio sering tidak berjalan,aplikasi nya lag menyalakan radio tidak berjalan,aplikasi nya lag menyalakan radio tidak berjalan
22,gabisa play. wifi full tetep gamau nyambung muter doang,netral,negatif,negatif,gabisa play. wifi full tetep gamau nyambung muter doang,gabisa play  wifi full tetep gamau nyambung muter doang,gabisa play  wifi full tetep gamau nyambung muter doang,gabisa play wifi full tetep gamau nyambung muter doang,tidak bisa putar wifi penuh tetap tidak ingin menyambung berputar saja
23,"selagi musmas terus jalan, w kasih bintang 5",netral,netral,netral,"selagi musmas terus jalan, w kasih bintang 5",selagi musmas terus jalan  w kasih bintang 5,selagi musmas terus jalan  w kasih bintang 5,selagi musmas jalan w kasih bintang 5,selagi musmas jalan aku kasih bintang 5
24,"Aku mau podcasternya yang bersuara seksi seperti semua pengisi suara ""batman bangkit"" Di spoti**** tolong",netral,netral,netral,"aku mau podcasternya yang bersuara seksi seperti semua pengisi suara ""batman bangkit"" di spoti**** tolong",aku mau podcasternya yang bersuara seksi seperti semua pengisi suara  batman bangkit  di spoti     tolong,aku mau podcasternya yang bersuara seksi seperti semua pengisi suara  batman bangkit  di spoti     tolong,podcasternya bersuara seksi pengisi suara batman bangkit spoti tolong,podcasternya bersuara seksi pengisi suara batman bangkit spoti tolong
25,"Ini kenapa aplikasi nya yang udah didengarkan, dihari lain jadi ga bisa didengarkan lagi. Kalian bilang free kapanpun, kenapa malah ga bisa.",netral,negatif,netral,"ini kenapa aplikasi nya yang udah didengarkan, dihari lain jadi ga bisa didengarkan lagi. kalian bilang free kapanpun, kenapa malah ga bisa.",ini kenapa aplikasi nya yang udah didengarkan  dihari lain jadi ga bisa didengarkan lagi  kalian bilang free kapanpun  kenapa malah ga bisa ,ini kenapa aplikasi nya yang udah didengarkan  dihari lain jadi ga bisa didengarkan lagi  kalian bilang free kapanpun  kenapa malah ga bisa,aplikasi nya udah didengarkan dihari ga didengarkan bilang free ga,aplikasi nya sudah didengarkan dihari tidak didengarkan berkata gratis tidak
26,"Kocak juga ini aplikasi.. Sudah subscribe bayar bulanan buat VIP, malah skrg ada beberapa konten VIP yg mesti diunlock lagi selain MUSMAS. Contoh hiduplah indonesia maya mulai sering VIP, butuh koin lagi. padahal kita udah subscribe VIP. Koplak deh. Udah dibayarin minta lebih terus. Bulan berikut males deh unlock VIP konten. Ga denger juga gapapa.",netral,netral,netral,"kocak juga ini aplikasi.. sudah subscribe bayar bulanan buat vip, malah skrg ada beberapa konten vip yg mesti diunlock lagi selain musmas. contoh hiduplah indonesia maya mulai sering vip, butuh koin lagi. padahal kita udah subscribe vip. koplak deh. udah dibayarin minta lebih terus. bulan berikut males deh unlock vip konten. ga denger juga gapapa.",kocak juga ini aplikasi   sudah subscribe bayar bulanan buat vip  malah skrg ada beberapa konten vip yg mesti diunlock lagi selain musmas  contoh hiduplah indonesia maya mulai sering vip  butuh koin lagi  padahal kita udah subscribe vip  koplak deh  udah dibayarin minta lebih terus  bulan berikut males deh unlock vip konten  ga denger juga gapapa ,kocak juga ini aplikasi   sudah subscribe bayar bulanan buat vip  malah skrg ada beberapa konten vip yg mesti diunlock lagi selain musmas  contoh hiduplah indonesia maya mulai sering vip  butuh koin lagi  padahal kita udah subscribe vip  koplak deh  udah dibayarin minta lebih terus  bulan berikut males deh unlock vip konten  ga denger juga gapapa,kocak aplikasi subscribe bayar bulanan vip skrg konten vip yg mesti diunlock musmas contoh hiduplah indonesia maya vip butuh koin udah subscribe vip koplak deh udah dibayarin males deh unlock vip konten ga denger gapapa,kocak aplikasi langganan bayar bulanan vip sekarang konten vip yang pasti diunlock musmas contoh hiduplah indonesia maya vip butuh koin sudah langganan vip kocak deh sudah dibayarin malas deh membuka vip konten tidak dengar tidak apa
27,"ini kenapa ya, kok saya mau top up tapi ngga bisa terus pas pembayarannya? padahal kemarin"" lancar aja",netral,netral,negatif,"ini kenapa ya, kok saya mau top up tapi ngga bisa terus pas pembayarannya? padahal kemarin"" lancar aja",ini kenapa ya  kok saya mau top up tapi ngga bisa terus pas pembayarannya  padahal kemarin  lancar aja,ini kenapa ya  kok saya mau top up tapi ngga bisa terus pas pembayarannya  padahal kemarin  lancar aja,ya top up ngga pas pembayarannya kemarin lancar aja,ya top naik tidak saat pembayarannya kemarin lancar saja
28,"Bagus apk nya, jika ada masalah pada apk nya mimin merespon dengan baik dan gercep👍",netral,netral,netral,"bagus apk nya, jika ada masalah pada apk nya mimin merespon dengan baik dan gercep👍",bagus apk nya  jika ada masalah pada apk nya mimin merespon dengan baik dan gercep ,bagus apk nya  jika ada masalah pada apk nya mimin merespon dengan baik dan gercep,bagus apk nya apk nya mimin merespon gercep,bagus aplikasi nya aplikasi nya admin merespon gercep
29,Mohon perbaiki konten pada aplikasi bima+ dan myIM3 karena menampilkan konten yang sudah usang,netral,netral,netral,mohon perbaiki konten pada aplikasi bima+ dan myim3 karena menampilkan konten yang sudah usang,mohon perbaiki konten pada aplikasi bima  dan myim3 karena menampilkan konten yang sudah usang,mohon perbaiki konten pada aplikasi bima  dan myim3 karena menampilkan konten yang sudah usang,mohon perbaiki konten aplikasi bima myim3 menampilkan konten usang,mohon perbaiki konten aplikasi bima myim3 menampilkan konten usang
30,bisa buat denger radio se Indonesia dan podcast anak bangsa,netral,positif,netral,bisa buat denger radio se indonesia dan podcast anak bangsa,bisa buat denger radio se indonesia dan podcast anak bangsa,bisa buat denger radio se indonesia dan podcast anak bangsa,denger radio indonesia podcast anak bangsa,dengar radio indonesia podcast anak bangsa
31,Hot.93.2 fm dan hot.105 fm nirwana cintaku di prancis ajaib SIPIT dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden.m.sakaweuning,netral,netral,netral,hot.93.2 fm dan hot.105 fm nirwana cintaku di prancis ajaib sipit dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden.m.sakaweuning,hot 93 2 fm dan hot 105 fm nirwana cintaku di prancis ajaib sipit dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden m sakaweuning,hot 93 2 fm dan hot 105 fm nirwana cintaku di prancis ajaib sipit dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden m sakaweuning,hot 93 2 fm hot 105 fm nirwana cintaku prancis ajaib sipit mark ing women and ladies and jentelmen love me kiss yu love i am raden m sakaweuning,hot 93 2 fm hot 105 fm nirwana cintaku prancis ajaib sipit mark ing women dan ladies dan berani cinta aku kiss ayo cinta aku sama raden miliar sakaweuning
32,"Noice yang dulu bukan yang sekarang. Dulu kalau buka konten, pasti ada iklan. Sekarang pas buka channelnya aja udah masuk iklan. Konten yang mau dibuka udah di klik, tapi yang keputar malah konten lain di channel itu. Akhirnya kita perlu menunggu 2-4 iklan hanya untuk mengganti audio. Oke saya faham kalau iklan itu perlu. Tapi kok gini banget gitu. Jangan sampai mengorbankan kenyamanan user lah. Bukannya jumawa, tapi user bisa aja nyari platform yang lebih enak kalau Noice gini terus",netral,netral,netral,"noice yang dulu bukan yang sekarang. dulu kalau buka konten, pasti ada iklan. sekarang pas buka channelnya aja udah masuk iklan. konten yang mau dibuka udah di klik, tapi yang keputar malah konten lain di channel itu. akhirnya kita perlu menunggu 2-4 iklan hanya untuk mengganti audio. oke saya faham kalau iklan itu perlu. tapi kok gini banget gitu. jangan sampai mengorbankan kenyamanan user lah. bukannya jumawa, tapi user bisa aja nyari platform yang lebih enak kalau noice gini terus",noice yang dulu bukan yang sekarang  dulu kalau buka konten  pasti ada iklan  sekarang pas buka channelnya aja udah masuk iklan  konten yang mau dibuka udah di klik  tapi yang keputar malah konten lain di channel itu  akhirnya kita perlu menunggu 2 4 iklan hanya untuk mengganti audio  oke saya faham kalau iklan itu perlu  tapi kok gini banget gitu  jangan sampai mengorbankan kenyamanan user lah  bukannya jumawa  tapi user bisa aja nyari platform yang lebih enak kalau noice gini terus,noice yang dulu bukan yang sekarang  dulu kalau buka konten  pasti ada iklan  sekarang pas buka channelnya aja udah masuk iklan  konten yang mau dibuka udah di klik  tapi yang keputar malah konten lain di channel itu  akhirnya kita perlu menunggu 2 4 iklan hanya untuk mengganti audio  oke saya faham kalau iklan itu perlu  tapi kok gini banget gitu  jangan sampai mengorbankan kenyamanan user lah  bukannya jumawa  tapi user bisa aja nyari platform yang lebih enak kalau noice gini terus,noice buka konten iklan pas buka channelnya aja udah masuk iklan konten dibuka udah klik keputar konten channel menunggu 2 4 iklan mengganti audio oke faham iklan gini banget gitu mengorbankan kenyamanan user jumawa user aja nyari platform enak noice gini,noice buka konten iklan saat buka channelnya saja sudah masuk iklan konten dibuka sudah klik keputar konten channel menunggu 2 4 iklan mengganti audio ya paham iklan seperti ini sekali begitu mengorbankan kenyamanan pengguna jumawa pengguna saja mencari platform enak noice seperti ini
33,"hope so noice bs terus jaya, gak kalah ama youtube",netral,netral,netral,"hope so noice bs terus jaya, gak kalah ama youtube",hope so noice bs terus jaya  gak kalah ama youtube,hope so noice bs terus jaya  gak kalah ama youtube,hope so noice bs jaya gak kalah ama youtube,harap jadi noice bisa jaya tidak kalah sama youtube
34,gimana sih.. katanya selaim HIM dan musmas bisa semua pakai premium.. kok masih ada yg terkunci?,netral,netral,netral,gimana sih.. katanya selaim him dan musmas bisa semua pakai premium.. kok masih ada yg terkunci?,gimana sih   katanya selaim him dan musmas bisa semua pakai premium   kok masih ada yg terkunci ,gimana sih   katanya selaim him dan musmas bisa semua pakai premium   kok masih ada yg terkunci,gimana sih selaim him musmas pakai premium yg terkunci,bagaimana sebenarnya selaim him musmas pakai premium yang terkunci
35,Aku udah beli paket premium 150 koin kok tetep gabisa dengerin VIP Noice ? Masih kekunci VIP nya,netral,netral,netral,aku udah beli paket premium 150 koin kok tetep gabisa dengerin vip noice ? masih kekunci vip nya,aku udah beli paket premium 150 koin kok tetep gabisa dengerin vip noice   masih kekunci vip nya,aku udah beli paket premium 150 koin kok tetep gabisa dengerin vip noice   masih kekunci vip nya,udah beli paket premium 150 koin tetep gabisa dengerin vip noice kekunci vip nya,sudah beli paket premium 150 koin tetap tidak bisa dengarkan vip noice kekunci vip nya
36,"Menurut ku ini Aplikasi luar biasa untuk konten audio.Konten nya bagus bagus ada yang lucu ada yang berpikir banyak lah jenis nya.Kalo saya paling suka musmas dan ruang 28.Makan tidak perlu,koin noice nomor 1😋 Cuman saran saya untuk auto rotasi di video nya dibagusin lah.Mutar mutar terus hp ku kalo nonton yang ada videonya.Udah di setting dari hp(kunci rotasi) masih tetep muter muter. Semoga noice bisa lebih baik...Aamiin",negatif,netral,netral,"menurut ku ini aplikasi luar biasa untuk konten audio.konten nya bagus bagus ada yang lucu ada yang berpikir banyak lah jenis nya.kalo saya paling suka musmas dan ruang 28.makan tidak perlu,koin noice nomor 1😋 cuman saran saya untuk auto rotasi di video nya dibagusin lah.mutar mutar terus hp ku kalo nonton yang ada videonya.udah di setting dari hp(kunci rotasi) masih tetep muter muter. semoga noice bisa lebih baik...aamiin",menurut ku ini aplikasi luar biasa untuk konten audio konten nya bagus bagus ada yang lucu ada yang berpikir banyak lah jenis nya kalo saya paling suka musmas dan ruang 28 makan tidak perlu koin noice nomor 1  cuman saran saya untuk auto rotasi di video nya dibagusin lah mutar mutar terus hp ku kalo nonton yang ada videonya udah di setting dari hp kunci rotasi  masih tetep muter muter  semoga noice bisa lebih baik   aamiin,menurut ku ini aplikasi luar biasa untuk konten audio konten nya bagus bagus ada yang lucu ada yang berpikir banyak lah jenis nya kalo saya paling suka musmas dan ruang 28 makan tidak perlu koin noice nomor 1  cuman saran saya untuk auto rotasi di video nya dibagusin lah mutar mutar terus hp ku kalo nonton yang ada videonya udah di setting dari hp kunci rotasi  masih tetep muter muter  semoga noice bisa lebih baik   aamiin,ku aplikasi konten audio konten nya bagus bagus lucu berpikir jenis nya kalo suka musmas ruang 28 makan tidak koin noice nomor 1 cuman saran auto rotasi video nya dibagusin mutar mutar hp ku kalo nonton videonya udah setting hp kunci rotasi tetep muter muter semoga noice aamiin,ku aplikasi konten audio konten nya bagus bagus lucu berpikir jenis nya kalau suka musmas ruang 28 makan tidak koin noice nomor 1 hanya saran auto rotasi video nya dibagusin mutar mutar ponsel ku kalau menonton videonya sudah atur ponsel kunci rotasi tetap berputar berputar semoga noice amin
37,Balikin 20rb gua dah top up koin gk masuk,netral,netral,netral,balikin 20rb gua dah top up koin gk masuk,balikin 20rb gua dah top up koin gk masuk,balikin 20rb gua dah top up koin gk masuk,balikin 20rb gua dah top up koin gk masuk,balikin 20rb aku deh top naik koin tidak masuk
38,Hai noice. Tolong dipercepat transaksi coinnya dong. Saya nggak tau ini masalah di pembayaran atau gimana. Yang jelas coinnya nggak nambah2 padahal udah mau buka konten berbayar. Emang harganya nggak seberapa tapi kecewa untuk pertama kali nya di platform ini.,netral,netral,netral,hai noice. tolong dipercepat transaksi coinnya dong. saya nggak tau ini masalah di pembayaran atau gimana. yang jelas coinnya nggak nambah2 padahal udah mau buka konten berbayar. emang harganya nggak seberapa tapi kecewa untuk pertama kali nya di platform ini.,hai noice  tolong dipercepat transaksi coinnya dong  saya nggak tau ini masalah di pembayaran atau gimana  yang jelas coinnya nggak nambah2 padahal udah mau buka konten berbayar  emang harganya nggak seberapa tapi kecewa untuk pertama kali nya di platform ini ,hai noice  tolong dipercepat transaksi coinnya dong  saya nggak tau ini masalah di pembayaran atau gimana  yang jelas coinnya nggak nambah2 padahal udah mau buka konten berbayar  emang harganya nggak seberapa tapi kecewa untuk pertama kali nya di platform ini,hai noice tolong dipercepat transaksi coinnya nggak tau pembayaran gimana coinnya nggak nambah2 udah buka konten berbayar emang harganya nggak kecewa kali nya platform,halo noice tolong dipercepat transaksi coinnya tidak tahu pembayaran bagaimana coinnya tidak nambah2 sudah buka konten berbayar memang harganya tidak kecewa kali nya platform
39,makin hari makin sepi peminat padahal bagus loh aplikasinya cuman pelayanan saat ada keluhan tidak pernah ditanggapi,netral,netral,netral,makin hari makin sepi peminat padahal bagus loh aplikasinya cuman pelayanan saat ada keluhan tidak pernah ditanggapi,makin hari makin sepi peminat padahal bagus loh aplikasinya cuman pelayanan saat ada keluhan tidak pernah ditanggapi,makin hari makin sepi peminat padahal bagus loh aplikasinya cuman pelayanan saat ada keluhan tidak pernah ditanggapi,sepi peminat bagus loh aplikasinya cuman pelayanan keluhan tidak ditanggapi,sepi peminat bagus loh aplikasinya hanya pelayanan keluhan tidak ditanggapi
40,"Download cuma buat dengerin Musuh Masyarakat. Karena dah bungkus, terpaksa unistall dong.......",netral,netral,netral,"download cuma buat dengerin musuh masyarakat. karena dah bungkus, terpaksa unistall dong.......",download cuma buat dengerin musuh masyarakat  karena dah bungkus  terpaksa unistall dong       ,download cuma buat dengerin musuh masyarakat  karena dah bungkus  terpaksa unistall dong,download dengerin musuh masyarakat dah bungkus terpaksa unistall,unduh dengarkan musuh masyarakat deh bungkus terpaksa unistall
41,Daftar aja gak bisa di geser ke bawah gimana siii tolong lah error force close uninstall mau daftar lagi malah gak bisa di geser pas di username gak ada lanjutnya gimanaaaaaa???????,negatif,netral,negatif,daftar aja gak bisa di geser ke bawah gimana siii tolong lah error force close uninstall mau daftar lagi malah gak bisa di geser pas di username gak ada lanjutnya gimanaaaaaa???????,daftar aja gak bisa di geser ke bawah gimana siii tolong lah error force close uninstall mau daftar lagi malah gak bisa di geser pas di username gak ada lanjutnya gimanaaaaaa       ,daftar aja gak bisa di geser ke bawah gimana siii tolong lah error force close uninstall mau daftar lagi malah gak bisa di geser pas di username gak ada lanjutnya gimanaaaaaa,daftar aja gak geser gimana siii tolong error force close uninstall daftar gak geser pas username gak gimanaaaaaa,daftar saja tidak geser bagaimana siii tolong eror memaksa close uninstall daftar tidak geser saat username tidak gimanaaaaaa
42,Gak bisa login menggunakan FB,netral,netral,netral,gak bisa login menggunakan fb,gak bisa login menggunakan fb,gak bisa login menggunakan fb,gak login fb,tidak masuk fb
43,Sering force close.. di buka lg iklan doang.. mana 30 detik.. ampas,netral,netral,negatif,sering force close.. di buka lg iklan doang.. mana 30 detik.. ampas,sering force close   di buka lg iklan doang   mana 30 detik   ampas,sering force close   di buka lg iklan doang   mana 30 detik   ampas,force close buka lg iklan doang 30 detik ampas,memaksa close buka lagi iklan saja 30 detik ampas
