,user_review,pengalaman visual,fungsi,performa dan stabilitas,case_fold,remove_punctuation,remove_whitespace,stopword_removal,normalize,tokenize
15,baik senang dgn dakwah islamyah,0,0,0,baik senang dgn dakwah islamyah,baik senang dgn dakwah islamyah,baik senang dgn dakwah islamyah,senang dgn dakwah islamyah,senang dengan dakwah islamyah,"['senang', 'dengan', 'dakwah', 'islamyah']"
16,Kecewa Hiduplah Indonesia Maya harus beli lagi walau sudah langganan noice premium,0,0,0,kecewa hiduplah indonesia maya harus beli lagi walau sudah langganan noice premium,kecewa hiduplah indonesia maya harus beli lagi walau sudah langganan noice premium,kecewa hiduplah indonesia maya harus beli lagi walau sudah langganan noice premium,kecewa hiduplah indonesia maya beli langganan noice premium,kecewa hiduplah indonesia maya beli langganan noice premium,"['kecewa', 'hiduplah', 'indonesia', 'maya', 'beli', 'langganan', 'noice', 'premium']"
17,"donlot ini cuma mau denger trio kurnia, tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast",0,0,0,"donlot ini cuma mau denger trio kurnia, tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast",donlot ini cuma mau denger trio kurnia tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast,donlot ini cuma mau denger trio kurnia tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast,donlot denger trio kurnia iklannya bgt muter audio iklan kalah spotify podcast,donlot dengar trio kurnia iklannya banget muter audio iklan kalah spotify podcast,"['donlot', 'dengar', 'trio', 'kurnia', 'iklannya', 'banget', 'muter', 'audio', 'iklan', 'kalah', 'spotify', 'podcast']"
18,"sampah, sinya full tapi ga bisa play bagusan spotify kemana mana",0,-1,0,"sampah, sinya full tapi ga bisa play bagusan spotify kemana mana",sampah sinya full tapi ga bisa play bagusan spotify kemana mana,sampah sinya full tapi ga bisa play bagusan spotify kemana mana,sampah sinya full ga play bagusan spotify kemana,sampah sinya full enggak play bagusan spotify kemana,"['sampah', 'sinya', 'full', 'enggak', 'play', 'bagusan', 'spotify', 'kemana']"
19,Aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,0,0,-1,aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,aplikasi ya bagus kalo donload episodenya ko banget tolong perbaiki,aplikasi ya bagus kalo donload episodenya kok banget tolong perbaiki,"['aplikasi', 'ya', 'bagus', 'kalo', 'donload', 'episodenya', 'kok', 'banget', 'tolong', 'perbaiki']"
20,"Makin kesini noice makin kapitalis dikit-dikit pakai duit, sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat",0,0,0,"makin kesini noice makin kapitalis dikit-dikit pakai duit, sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat",makin kesini noice makin kapitalis dikitdikit pakai duit sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat,makin kesini noice makin kapitalis dikitdikit pakai duit sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat,kesini noice kapitalis dikitdikit pakai duit berlangganan aja konten pakai duit musuh masyarakat,kesini noice kapitalis dikitdikit pakai duit berlangganan saja konten pakai duit musuh masyarakat,"['kesini', 'noice', 'kapitalis', 'dikitdikit', 'pakai', 'duit', 'berlangganan', 'saja', 'konten', 'pakai', 'duit', 'musuh', 'masyarakat']"
21,"Aplikasi nya sering lag, dan saat menyalakan radio sering tidak berjalan",0,-1,-1,"aplikasi nya sering lag, dan saat menyalakan radio sering tidak berjalan",aplikasi nya sering lag dan saat menyalakan radio sering tidak berjalan,aplikasi nya sering lag dan saat menyalakan radio sering tidak berjalan,aplikasi nya lag menyalakan radio tidak berjalan,aplikasi nya lag menyalakan radio tidak berjalan,"['aplikasi', 'nya', 'lag', 'menyalakan', 'radio', 'tidak', 'berjalan']"
22,gabisa play. wifi full tetep gamau nyambung muter doang,0,-1,-1,gabisa play. wifi full tetep gamau nyambung muter doang,gabisa play wifi full tetep gamau nyambung muter doang,gabisa play wifi full tetep gamau nyambung muter doang,gabisa play wifi full tetep gamau nyambung muter doang,enggak bisa play wifi full tetap enggak mau menyambung muter doang,"['enggak', 'bisa', 'play', 'wifi', 'full', 'tetap', 'enggak', 'mau', 'menyambung', 'muter', 'doang']"
23,"selagi musmas terus jalan, w kasih bintang 5",0,0,0,"selagi musmas terus jalan, w kasih bintang 5",selagi musmas terus jalan w kasih bintang 5,selagi musmas terus jalan w kasih bintang 5,selagi musmas jalan w kasih bintang 5,selagi musmas jalan gue kasih bintang 5,"['selagi', 'musmas', 'jalan', 'gue', 'kasih', 'bintang', '5']"
24,"Aku mau podcasternya yang bersuara seksi seperti semua pengisi suara ""batman bangkit"" Di spoti**** tolong",0,0,0,"aku mau podcasternya yang bersuara seksi seperti semua pengisi suara ""batman bangkit"" di spoti**** tolong",aku mau podcasternya yang bersuara seksi seperti semua pengisi suara batman bangkit di spoti tolong,aku mau podcasternya yang bersuara seksi seperti semua pengisi suara batman bangkit di spoti tolong,podcasternya bersuara seksi pengisi suara batman bangkit spoti tolong,podcasternya bersuara seksi pengisi suara batman bangkit spoti tolong,"['podcasternya', 'bersuara', 'seksi', 'pengisi', 'suara', 'batman', 'bangkit', 'spoti', 'tolong']"
25,"Ini kenapa aplikasi nya yang udah didengarkan, dihari lain jadi ga bisa didengarkan lagi. Kalian bilang free kapanpun, kenapa malah ga bisa.",0,-1,0,"ini kenapa aplikasi nya yang udah didengarkan, dihari lain jadi ga bisa didengarkan lagi. kalian bilang free kapanpun, kenapa malah ga bisa.",ini kenapa aplikasi nya yang udah didengarkan dihari lain jadi ga bisa didengarkan lagi kalian bilang free kapanpun kenapa malah ga bisa,ini kenapa aplikasi nya yang udah didengarkan dihari lain jadi ga bisa didengarkan lagi kalian bilang free kapanpun kenapa malah ga bisa,aplikasi nya udah didengarkan dihari ga didengarkan bilang free ga,aplikasi nya sudah didengarkan dihari enggak didengarkan bilang free enggak,"['aplikasi', 'nya', 'sudah', 'didengarkan', 'dihari', 'enggak', 'didengarkan', 'bilang', 'free', 'enggak']"
26,"Kocak juga ini aplikasi.. Sudah subscribe bayar bulanan buat VIP, malah skrg ada beberapa konten VIP yg mesti diunlock lagi selain MUSMAS. Contoh hiduplah indonesia maya mulai sering VIP, butuh koin lagi. padahal kita udah subscribe VIP. Koplak deh. Udah dibayarin minta lebih terus. Bulan berikut males deh unlock VIP konten. Ga denger juga gapapa.",0,0,0,"kocak juga ini aplikasi.. sudah subscribe bayar bulanan buat vip, malah skrg ada beberapa konten vip yg mesti diunlock lagi selain musmas. contoh hiduplah indonesia maya mulai sering vip, butuh koin lagi. padahal kita udah subscribe vip. koplak deh. udah dibayarin minta lebih terus. bulan berikut males deh unlock vip konten. ga denger juga gapapa.",kocak juga ini aplikasi sudah subscribe bayar bulanan buat vip malah skrg ada beberapa konten vip yg mesti diunlock lagi selain musmas contoh hiduplah indonesia maya mulai sering vip butuh koin lagi padahal kita udah subscribe vip koplak deh udah dibayarin minta lebih terus bulan berikut males deh unlock vip konten ga denger juga gapapa,kocak juga ini aplikasi sudah subscribe bayar bulanan buat vip malah skrg ada beberapa konten vip yg mesti diunlock lagi selain musmas contoh hiduplah indonesia maya mulai sering vip butuh koin lagi padahal kita udah subscribe vip koplak deh udah dibayarin minta lebih terus bulan berikut males deh unlock vip konten ga denger juga gapapa,kocak aplikasi subscribe bayar bulanan vip skrg konten vip yg mesti diunlock musmas contoh hiduplah indonesia maya vip butuh koin udah subscribe vip koplak deh udah dibayarin males deh unlock vip konten ga denger gapapa,kocak aplikasi subscribe bayar bulanan vip sekarang konten vip yang mesti diunlock musmas contoh hiduplah indonesia maya vip butuh koin sudah subscribe vip kocak deh sudah dibayarin malas deh unlock vip konten enggak dengar gapapa,"['kocak', 'aplikasi', 'subscribe', 'bayar', 'bulanan', 'vip', 'sekarang', 'konten', 'vip', 'yang', 'mesti', 'diunlock', 'musmas', 'contoh', 'hiduplah', 'indonesia', 'maya', 'vip', 'butuh', 'koin', 'sudah', 'subscribe', 'vip', 'kocak', 'deh', 'sudah', 'dibayarin', 'malas', 'deh', 'unlock', 'vip', 'konten', 'enggak', 'dengar', 'gapapa']"
27,"ini kenapa ya, kok saya mau top up tapi ngga bisa terus pas pembayarannya? padahal kemarin"" lancar aja",0,0,-1,"ini kenapa ya, kok saya mau top up tapi ngga bisa terus pas pembayarannya? padahal kemarin"" lancar aja",ini kenapa ya kok saya mau top up tapi ngga bisa terus pas pembayarannya padahal kemarin lancar aja,ini kenapa ya kok saya mau top up tapi ngga bisa terus pas pembayarannya padahal kemarin lancar aja,ya top up ngga pas pembayarannya kemarin lancar aja,ya top up enggak pas pembayarannya kemarin lancar saja,"['ya', 'top', 'up', 'enggak', 'pas', 'pembayarannya', 'kemarin', 'lancar', 'saja']"
28,"Bagus apk nya, jika ada masalah pada apk nya mimin merespon dengan baik dan gercep👍",0,0,0,"bagus apk nya, jika ada masalah pada apk nya mimin merespon dengan baik dan gercep👍",bagus apk nya jika ada masalah pada apk nya mimin merespon dengan baik dan gercep,bagus apk nya jika ada masalah pada apk nya mimin merespon dengan baik dan gercep,bagus apk nya apk nya mimin merespon gercep,bagus aplikasi nya aplikasi nya admin merespon gercep,"['bagus', 'aplikasi', 'nya', 'aplikasi', 'nya', 'admin', 'merespon', 'gercep']"
29,Mohon perbaiki konten pada aplikasi bima+ dan myIM3 karena menampilkan konten yang sudah usang,0,0,0,mohon perbaiki konten pada aplikasi bima+ dan myim3 karena menampilkan konten yang sudah usang,mohon perbaiki konten pada aplikasi bima dan myim3 karena menampilkan konten yang sudah usang,mohon perbaiki konten pada aplikasi bima dan myim3 karena menampilkan konten yang sudah usang,mohon perbaiki konten aplikasi bima myim3 menampilkan konten usang,mohon perbaiki konten aplikasi bima myim3 menampilkan konten usang,"['mohon', 'perbaiki', 'konten', 'aplikasi', 'bima', 'myim3', 'menampilkan', 'konten', 'usang']"
30,bisa buat denger radio se Indonesia dan podcast anak bangsa,0,1,0,bisa buat denger radio se indonesia dan podcast anak bangsa,bisa buat denger radio se indonesia dan podcast anak bangsa,bisa buat denger radio se indonesia dan podcast anak bangsa,denger radio indonesia podcast anak bangsa,dengar radio indonesia podcast anak bangsa,"['dengar', 'radio', 'indonesia', 'podcast', 'anak', 'bangsa']"
31,Hot.93.2 fm dan hot.105 fm nirwana cintaku di prancis ajaib SIPIT dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden.m.sakaweuning,0,0,0,hot.93.2 fm dan hot.105 fm nirwana cintaku di prancis ajaib sipit dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden.m.sakaweuning,hot932 fm dan hot105 fm nirwana cintaku di prancis ajaib sipit dibuat mark ing women and ladies and jentelmen love me kiss yu love i am radenmsakaweuning,hot932 fm dan hot105 fm nirwana cintaku di prancis ajaib sipit dibuat mark ing women and ladies and jentelmen love me kiss yu love i am radenmsakaweuning,hot932 fm hot105 fm nirwana cintaku prancis ajaib sipit mark ing women and ladies and jentelmen love me kiss yu love i am radenmsakaweuning,hot932 fm hot105 fm nirwana cintaku prancis ajaib sipit mark ing women and ladies and jentelmen love me kiss yuk love i sama radenmsakaweuning,"['hot932', 'fm', 'hot105', 'fm', 'nirwana', 'cintaku', 'prancis', 'ajaib', 'sipit', 'mark', 'ing', 'women', 'and', 'ladies', 'and', 'jentelmen', 'love', 'me', 'kiss', 'yuk', 'love', 'i', 'sama', 'radenmsakaweuning']"
32,"Noice yang dulu bukan yang sekarang. Dulu kalau buka konten, pasti ada iklan. Sekarang pas buka channelnya aja udah masuk iklan. Konten yang mau dibuka udah di klik, tapi yang keputar malah konten lain di channel itu. Akhirnya kita perlu menunggu 2-4 iklan hanya untuk mengganti audio. Oke saya faham kalau iklan itu perlu. Tapi kok gini banget gitu. Jangan sampai mengorbankan kenyamanan user lah. Bukannya jumawa, tapi user bisa aja nyari platform yang lebih enak kalau Noice gini terus",0,0,0,"noice yang dulu bukan yang sekarang. dulu kalau buka konten, pasti ada iklan. sekarang pas buka channelnya aja udah masuk iklan. konten yang mau dibuka udah di klik, tapi yang keputar malah konten lain di channel itu. akhirnya kita perlu menunggu 2-4 iklan hanya untuk mengganti audio. oke saya faham kalau iklan itu perlu. tapi kok gini banget gitu. jangan sampai mengorbankan kenyamanan user lah. bukannya jumawa, tapi user bisa aja nyari platform yang lebih enak kalau noice gini terus",noice yang dulu bukan yang sekarang dulu kalau buka konten pasti ada iklan sekarang pas buka channelnya aja udah masuk iklan konten yang mau dibuka udah di klik tapi yang keputar malah konten lain di channel itu akhirnya kita perlu menunggu 24 iklan hanya untuk mengganti audio oke saya faham kalau iklan itu perlu tapi kok gini banget gitu jangan sampai mengorbankan kenyamanan user lah bukannya jumawa tapi user bisa aja nyari platform yang lebih enak kalau noice gini terus,noice yang dulu bukan yang sekarang dulu kalau buka konten pasti ada iklan sekarang pas buka channelnya aja udah masuk iklan konten yang mau dibuka udah di klik tapi yang keputar malah konten lain di channel itu akhirnya kita perlu menunggu 24 iklan hanya untuk mengganti audio oke saya faham kalau iklan itu perlu tapi kok gini banget gitu jangan sampai mengorbankan kenyamanan user lah bukannya jumawa tapi user bisa aja nyari platform yang lebih enak kalau noice gini terus,noice buka konten iklan pas buka channelnya aja udah masuk iklan konten dibuka udah klik keputar konten channel menunggu 24 iklan mengganti audio oke faham iklan gini banget gitu mengorbankan kenyamanan user jumawa user aja nyari platform enak noice gini,noice buka konten iklan pas buka channelnya saja sudah masuk iklan konten dibuka sudah klik keputar konten channel menunggu 24 iklan mengganti audio oke faham iklan begini banget begitu mengorbankan kenyamanan user jumawa user saja mencari platform enak noice begini,"['noice', 'buka', 'konten', 'iklan', 'pas', 'buka', 'channelnya', 'saja', 'sudah', 'masuk', 'iklan', 'konten', 'dibuka', 'sudah', 'klik', 'keputar', 'konten', 'channel', 'menunggu', '24', 'iklan', 'mengganti', 'audio', 'oke', 'faham', 'iklan', 'begini', 'banget', 'begitu', 'mengorbankan', 'kenyamanan', 'user', 'jumawa', 'user', 'saja', 'mencari', 'platform', 'enak', 'noice', 'begini']"
33,"hope so noice bs terus jaya, gak kalah ama youtube",0,0,0,"hope so noice bs terus jaya, gak kalah ama youtube",hope so noice bs terus jaya gak kalah ama youtube,hope so noice bs terus jaya gak kalah ama youtube,hope so noice bs jaya gak kalah ama youtube,hope so noice bisa jaya enggak kalah sama youtube,"['hope', 'so', 'noice', 'bisa', 'jaya', 'enggak', 'kalah', 'sama', 'youtube']"
34,gimana sih.. katanya selaim HIM dan musmas bisa semua pakai premium.. kok masih ada yg terkunci?,0,0,0,gimana sih.. katanya selaim him dan musmas bisa semua pakai premium.. kok masih ada yg terkunci?,gimana sih katanya selaim him dan musmas bisa semua pakai premium kok masih ada yg terkunci,gimana sih katanya selaim him dan musmas bisa semua pakai premium kok masih ada yg terkunci,gimana sih selaim him musmas pakai premium yg terkunci,bagaimana sih selaim him musmas pakai premium yang terkunci,"['bagaimana', 'sih', 'selaim', 'him', 'musmas', 'pakai', 'premium', 'yang', 'terkunci']"
35,Aku udah beli paket premium 150 koin kok tetep gabisa dengerin VIP Noice ? Masih kekunci VIP nya,0,0,0,aku udah beli paket premium 150 koin kok tetep gabisa dengerin vip noice ? masih kekunci vip nya,aku udah beli paket premium 150 koin kok tetep gabisa dengerin vip noice  masih kekunci vip nya,aku udah beli paket premium 150 koin kok tetep gabisa dengerin vip noice  masih kekunci vip nya,udah beli paket premium 150 koin tetep gabisa dengerin vip noice kekunci vip nya,sudah beli paket premium 150 koin tetap enggak bisa dengarkan vip noice kekunci vip nya,"['sudah', 'beli', 'paket', 'premium', '150', 'koin', 'tetap', 'enggak', 'bisa', 'dengarkan', 'vip', 'noice', 'kekunci', 'vip', 'nya']"
